Effect_en|Food_Name_en|Effect|Food_Name
the seven kinds of wounds|Miqan–u kö[n]lesün|藏气虚冷。常服补中益气。|米哈讷关列孙
treats the five kinds of impairments and|Miqan–u kö[n]lesün|治五劳七伤|米哈讷关列孙
increases vital [healthy] energy|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |阴气不足。利血脉|颇儿必汤
insufficiency of yin qi benefits blood and pulse|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |羸瘦|颇儿必汤
cold–evil attack emaciation|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |寒中|颇儿必汤
is good for xulao diseases of men and women|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |即羊辟膝骨。 主男女虚劳|颇儿必汤
treat lumbago due to strain and ocular ache|Broiled Sheep’s Loins|治卒患腰眼疼痛者。|炙羊腰
depressed melancholy|Broiled Sheep’s Heart|郁结不乐。|炙羊心
treats heart energy agitation|Broiled Sheep’s Heart|治心气惊悸|炙羊心
aching pain along the spinal column|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|腰脊酸疼。|撒速汤
chill pain of the abdomen|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|腹内冷痛|撒速汤
treats deficiency chill of the primordial storehouse|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|系西天茶饭名。治元脏虚冷|撒速汤
supplements the center|Qamh [Triticum durum] Soup|补中益气。|河西米汤粥
supplements the center|Millet Insipid Congee|补中益气。|粱米淡粥
increases kidney qi|Soup Congee|益肾气。|汤粥
supplements spleen and stomach|Soup Congee|补脾胃|汤粥
increases the power of qi|Qima Congee|益气力。|乞马粥
supplements spleen and stomach|Qima Congee|补脾胃|乞马粥
supplements the center|Shoyla Toyym|系畏兀儿茶饭。补中益气。|搠罗脱因
increases qi|[U]mach (a kind of hand twisted noodle. It can be glutinous rice flour or euryale flour.)|鸡头粉亦可。补中益气。|马乞
supplements the center|[U]mach (a kind of hand twisted noodle. It can be glutinous rice flour or euryale flour.)|系手搓面。或糯米粉|马乞
supplement the center|Water Dragon Qizi|补中益气。|水龙子
supplement the center|Fine Salma (same as “Thin Silk Border” Salma)|绢边水滑一同。 补中益气。|细水滑
supplement the center|Tutum Ash (This is a kind of kneaded noodle)|系手撇面。补中益气。|秃秃麻食
supplement the center|Sheep’s Skin Noodles|补中益气。|羊皮面
supplement the center|Jingtei Noodles|补中益气。|经带面
supplement the center|Hanging Noodles|补中益气。|挂面
supplement [for] deficiency emaciation  increase primordial energy|Chinese Yam Noodles|补虚羸|山药面
supplement the center|Black Broth Noodles|补中益气。|皂羹面
supplement the center|Chöppün Noodles|补中益气。|春盘面
supplements and increases [for] the five internal organs|Ishkäne|补益五脏。|围像
warms the center|Roast Wolf Soup|今云性热|炒野狼汤
