Food_Name_en|Effect_en|Ingredients_en|Steps_en
Sprouting Chinese Foxglove Chicken|It treats pain of the back and loins, deficiency and injury of bone and marrow, inability to stand upright for long periods, heaviness of body and qi shortage, night sweating and lack of appetite, and occasional vomiting and dysentery.|Sprouting Chinese foxglove (half a jin), sweetmeats (five liang), and black chicken (one).|[Of the] ingredients first take the chicken, pluck, remove the giblets and clean. Cut up finely. Combine the Chinese foxglove and the sugar together evenly. Put the mixture inside the intestinal cavity of the chicken. Put it into a copper pot. Then put the copper pot into a cauldron and steam. When the dish has been cooked completely, remove the chicken and eat. Do not use salt or vinegar. Eat the meat. When it is gone also drink the broth.
Lamb Honey Paste|It treats xulao diseases, waist pain (lumbago), coughing, withered lung, and hectic fever due to yin deficiency.|Cooked sheep’s fat (five liang), cooked sheep’s marrow (five liang), crystallized honey (five liang; refine), juice of sprouting ginger (one he), juice of sprouting Chinese foxglove (one he).|[Of] ingredients, first decoct the sheep’s fat and bring to a boil. Then add the sheep’s marrow. Bring to a boil again, then add the honey and [sprouting] Chinese foxglove and sprouting ginger juice. Stir constantly. Slowly simmer and bring repeatedly to a boil over a small fire to make a paste. Take a spoonful dissolved in warm liquor every day on an empty stomach. Or make it into a soup or a congee and eat it. This is also acceptable.
Sheep Entrails Gruel|It treats consumptive disease damage to the kidney, and damage to bone and marrow.|Sheep’s liver, stomach, kidney, heart and lung (one each; wash in hot water), cow’s [milk] cheese (one liang), black pepper (one liang), long pepper (one liang), salted fruits (one he), prepared mandarin orange peel (two qian; remove white), lesser galangal (two qian), tsaoko cardamom (two), onions (five “stalks”).|[Of] ingredients, first take the sheep entrails and boil slowly until done over a slow fire. Take the juice and strain clean. Combine with sheep entrails [other than the stomach] and herbs, and stuff everything into the sheep’s belly. Sew up the opening. Put into a thin silk bag. Boil again. When done add five spices. Eat regularly as desired.
Sheep Bone Congee|It treats xulao diseases and debility of waist and knee.|Sheep’s bones (an entire set; broken up), prepared mandarin orange peel (one qian; remove white), lesser galangal (two qian), tsaoko cardamom (two), fresh ginger (one liang), salt (a little).|Decoct ingredients into a juice over a slow fire in three dou [of water]. Strain. When the liquid has cleared, make a congee in the conventional way. It is also possible to make a soup from the bones.
Sheep’s Spine Gruel|It treats a condition of chronic lower burner primordial qi deficiency, and damage to waist and kidney.|Sheep’s spine (one complete; broken up), broomrape (one liang; wash and cut into slices), tsaoko cardamom (three), long pepper (two qian).|Boil ingredients in water into a juice. Filter and remove the dregs. Add spring onions, and five spices. Make a flour gruel. Eat.
White Sheep Kidney Gruel|It treats xulao diseases, degeneration of the yang ways, and debility of waist and knee.|White sheep’s kidney (two; cut into slices), broomrape (one liang; soak in liquor and cut), sheep’s fat (four liang; cut into slices), black pepper (two qian), prepared mandarin orange peel (one qian; remove white), long pepper (two qian), tsaoko cardamom (one qian)|Combine ingredients. Add spring onions, salt and sauce, and boil into a soup. Add flour qizi. Make into a gruel in the normal way and eat.
Pig Kidney Congee|It cures kidney xulao damage, debility and ache of waist and knee.|Pig kidney (one, remove fatty tissue and slice), non-glutinous rice (three ho), tsaoko cardamom (three), prepared mandarin orange peel (one qian; remove white), grain-of-paradise (two qian).|[Of] ingredients, first take the pig kidney, the prepared mandarin orange peel etc. and boil to make a juice. Strain and remove the dregs. Add a small amount of liquor. Then add the rice to make a congee. Eat on an empty stomach.
Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|It cures yang qi degeneration, ache of waist and foot, the five kinds of impairments and the seven wounds.|Chinese matrimony vine fruits (one jin), sheep’s kidney (two; finely cut up), spring onions (one stalk), mutton (half a jin; roast).|Combine four ingredients evenly. Add the five spices and boil down into a juice. Add rice and decoct into a congee. Eat on an empty stomach.
Deer’s Kidney Gruel|It cures kidney deficiency and deafness.|Deer’s kidney (one; remove the fatty tissue and slice).|Surround ingredient with fermented black beans. Add three he of non-glutinous rice and boil [into a] congee. A gruel could also be made. Add the five spices. Eat on an empty stomach.
Mutton Gruel|It cures kidney deficiency failing and debility of waist and foot.|Mutton (half a jin; cut up finely), Chinese radish (one; cut into slices), tsaoko cardamom (one qian), prepared mandarin orange peel (one qian; remove white), lesser galangal (one qian), long pepper (one qian), black pepper (one qian), spring onions (three).|Boil ingredients in water to make a juice. Add salt and sauce and boil into a broth. Add wheat flour qizi. Eat. It can also be eaten by taking clear soup and making into a congee.
Deer Feet Soup|It cures the various wind deficiencies, ache of waist and foot and inability to walk.|Deer feet (four pair), prepared mandarin orange peel (two qian), tsaoko cardamom (two qian).|Boil ingredients until thoroughly cooked. Take the meat and add the five spices. Eat on an empty stomach.
