Food_Name_en|Effect_en|Ingredients_en|Steps_en|Food_Name|Effect|Ingredients|Steps
Sprouting Chinese Foxglove Chicken|It treats pain of the back and loins, deficiency and injury of bone and marrow, inability to stand upright for long periods, heaviness of body and qi shortage, night sweating and lack of appetite, and occasional vomiting and dysentery.|Sprouting Chinese foxglove (half a jin), sweetmeats (five liang), and black chicken (one).|[Of the] ingredients first take the chicken, pluck, remove the giblets and clean. Cut up finely. Combine the Chinese foxglove and the sugar together evenly. Put the mixture inside the intestinal cavity of the chicken. Put it into a copper pot. Then put the copper pot into a cauldron and steam. When the dish has been cooked completely, remove the chicken and eat. Do not use salt or vinegar. Eat the meat. When it is gone also drink the broth.|生地黄鸡|治腰背疼痛，骨髓虚损，不能久立，身重气乏，盗汗，少食，时复吐利。|生地黄 半斤  饴糖 五两  乌鸡 一 枚|右三味，先将鸡去毛、肠肚净，细切，地黄与糖相和匀，内鸡腹中，以铜器中放之，复置甑中蒸炊，饭熟成，取食之。不用盐醋，唯食肉尽却饮汁。
Lamb Honey Paste|It treats xulao diseases, waist pain (lumbago), coughing, withered lung, and hectic fever due to yin deficiency.|Cooked sheep’s fat (five liang), cooked sheep’s marrow (five liang), crystallized honey (five liang; refine), juice of sprouting ginger (one he), juice of sprouting Chinese foxglove (one he).|[Of] ingredients, first decoct the sheep’s fat and bring to a boil. Then add the sheep’s marrow. Bring to a boil again, then add the honey and [sprouting] Chinese foxglove and sprouting ginger juice. Stir constantly. Slowly simmer and bring repeatedly to a boil over a small fire to make a paste. Take a spoonful dissolved in warm liquor every day on an empty stomach. Or make it into a soup or a congee and eat it. This is also acceptable.|羊蜜膏|治虚劳，腰痛，咳嗽，肺痿，骨蒸。|熟羊脂 五两  熟羊髓 五两  白沙蜜 五两，炼净  生姜汁 一合  生地黄汁 五合|右五味，先以羊脂煎令沸，次下羊髓又令沸，次下蜜、地黄、生姜汁，不住手搅，微火熬数沸成膏。每日空心温酒调一匙头。或作羹汤，或作粥食之亦可。
Sheep Entrails Gruel|It treats consumptive disease damage to the kidney, and damage to bone and marrow.|Sheep’s liver, stomach, kidney, heart and lung (one each; wash in hot water), cow’s [milk] cheese (one liang), black pepper (one liang), long pepper (one liang), salted fruits (one he), prepared mandarin orange peel (two qian; remove white), lesser galangal (two qian), tsaoko cardamom (two), onions (five “stalks”).|[Of] ingredients, first take the sheep entrails and boil slowly until done over a slow fire. Take the juice and strain clean. Combine with sheep entrails [other than the stomach] and herbs, and stuff everything into the sheep’s belly. Sew up the opening. Put into a thin silk bag. Boil again. When done add five spices. Eat regularly as desired.|羊藏羹|治肾虚劳损，骨髓伤败。|羊肝、肚、肾、心、肺 各一具，汤洗净  牛酥 一两  胡椒 一两  荜拨 一两  豉 一合  陈皮 二钱，去白  良姜 二钱  草果 两个  葱 五 茎|上件，先将羊肝等，慢火煮令熟，将汁滤净。和羊肝等并药，一同入羊肚内，缝合口，令绢袋盛之，再煮熟，入五味，旋旋任意食之。
Sheep Bone Congee|It treats xulao diseases and debility of waist and knee.|Sheep’s bones (an entire set; broken up), prepared mandarin orange peel (one qian; remove white), lesser galangal (two qian), tsaoko cardamom (two), fresh ginger (one liang), salt (a little).|Decoct ingredients into a juice over a slow fire in three dou [of water]. Strain. When the liquid has cleared, make a congee in the conventional way. It is also possible to make a soup from the bones.|羊骨粥|治虚劳，腰膝无力。|羊骨 一副，全者，捶碎  陈皮 二钱，去白  良姜 二钱  草果 二个  生姜 一两  盐 少许|右水三斗，慢火熬成汁，滤出澄清，如常作粥，或作羹汤亦可。
Sheep’s Spine Gruel|It treats a condition of chronic lower burner primordial qi deficiency, and damage to waist and kidney.|Sheep’s spine (one complete; broken up), broomrape (one liang; wash and cut into slices), tsaoko cardamom (three), long pepper (two qian).|Boil ingredients in water into a juice. Filter and remove the dregs. Add spring onions, and five spices. Make a flour gruel. Eat.|羊脊骨粥|治下元久虚，腰肾伤败。|羊脊骨 一具，全者，捶碎  肉苁蓉 一两，洗，切作片  草果 三个  荜拨 二钱|上件，水熬成汁，滤去滓，入葱白、五味，作面羹食之。
White Sheep Kidney Gruel|It treats xulao diseases, degeneration of the yang ways, and debility of waist and knee.|White sheep’s kidney (two; cut into slices), broomrape (one liang; soak in liquor and cut), sheep’s fat (four liang; cut into slices), black pepper (two qian), prepared mandarin orange peel (one qian; remove white), long pepper (two qian), tsaoko cardamom (one qian)|Combine ingredients. Add spring onions, salt and sauce, and boil into a soup. Add flour qizi. Make into a gruel in the normal way and eat.|白羊肾羹|治虚劳，阳道衰败，腰膝无力。|白羊肾 二具，切作片  肉苁蓉 一两，酒浸，切  羊脂 四两，切作片  胡椒 二钱  陈皮 一钱，去白  荜拨 二钱  草果 二钱|上件相和，入葱白、盐、酱，煮作汤，入面 子，如常作羹 食之。
Pig Kidney Congee|It cures kidney xulao damage, debility and ache of waist and knee.|Pig kidney (one, remove fatty tissue and slice), non-glutinous rice (three ho), tsaoko cardamom (three), prepared mandarin orange peel (one qian; remove white), grain-of-paradise (two qian).|[Of] ingredients, first take the pig kidney, the prepared mandarin orange peel etc. and boil to make a juice. Strain and remove the dregs. Add a small amount of liquor. Then add the rice to make a congee. Eat on an empty stomach.|猪肾粥|治肾虚劳损，腰膝无力，疼痛。|猪肾 一对，去脂膜，切  粳米 三合  草果 二钱  陈皮 一钱，去白  缩砂 二钱|上件，先将猪肾、陈皮等煮成汁，滤去滓，入酒少许，次下米成粥，空心食之。
Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|It cures yang qi degeneration, ache of waist and foot, the five kinds of impairments and the seven wounds.|Chinese matrimony vine fruits (one jin), sheep’s kidney (two; finely cut up), spring onions (one stalk), mutton (half a jin; roast).|Combine four ingredients evenly. Add the five spices and boil down into a juice. Add rice and decoct into a congee. Eat on an empty stomach.|枸杞羊肾粥|治阳气衰败，腰脚疼痛，五劳七伤。|枸杞叶 一斤  羊肾 一对，细切  葱白 一 茎  羊肉 半斤，炒|右四味拌匀，入五味，煮成汁，下米熬成粥，空腹食之。
Deer’s Kidney Gruel|It cures kidney deficiency and deafness.|Deer’s kidney (one; remove the fatty tissue and slice).|Surround ingredient with fermented black beans. Add three he of non-glutinous rice and boil [into a] congee. A gruel could also be made. Add the five spices. Eat on an empty stomach.|鹿肾羹|治肾虚耳聋。|鹿肾 一对，去脂膜，切|上件于豆豉中，入粳米三合，煮粥或作羹，入五味，空心食之。
Mutton Gruel|It cures kidney deficiency failing and debility of waist and foot.|Mutton (half a jin; cut up finely), Chinese radish (one; cut into slices), tsaoko cardamom (one qian), prepared mandarin orange peel (one qian; remove white), lesser galangal (one qian), long pepper (one qian), black pepper (one qian), spring onions (three).|Boil ingredients in water to make a juice. Add salt and sauce and boil into a broth. Add wheat flour qizi. Eat. It can also be eaten by taking clear soup and making into a congee.|羊肉羹|治肾虚衰弱，腰脚无力。|羊肉 半斤，细切  萝卜 一个，切作片  草果 一 钱  陈皮 一钱，去白  良姜 一钱 荜拨 一钱  胡椒 一钱  葱白 三茎|上件，水熬成汁，入盐、酱熬汤，下面 子，作羹食之。将汤澄清，作粥食之亦可。
Deer Feet Soup|It cures the various wind deficiencies, ache of waist and foot and inability to walk.|Deer feet (four pair), prepared mandarin orange peel (two qian), tsaoko cardamom (two qian).|Boil ingredients until thoroughly cooked. Take the meat and add the five spices. Eat on an empty stomach.|鹿蹄汤|治诸风、虚，腰脚疼痛，不能践地。|鹿蹄 四只  陈皮 二钱  草果 二钱|上件，煮令烂熟，取肉，入五味，空腹食之。
Deer Horn Liquor|It cures lumbago pain due to strain and acute back spasm.|Deer horn (young horn, two to three cun in length; roast red).|Soak ingredient in liquor for two nights. Drink on an empty stomach. It is effective immediately.|鹿角酒|治卒患腰痛，暂转不得。|鹿角 新者，长二三寸，烧令赤|上件，内酒中浸二宿，空心饮之立效。
Black Ox Marrow Decoction|It cures kidney asthenia, bone damage and fatigue from wasting.|Black ox marrow (half a jin), juice of sprouting Chinese foxglove (half a jin), crystallized honey (half a jin; roast; remove wax).|Combine three ingredients. Decoct into a paste. Dissolve in liquor and take on an empty stomach.|黑牛髓煎|治肾虚弱，骨伤败，瘦弱无力。|黑牛髓 半斤  生地黄汁 半斤  白沙蜜 半斤，炼去蜡|右三味和匀，煎成膏，空心酒调服之。
Fox Meat Soup|It cures asthenia and evil qi of the five viscera.|Fox meat (five jin; wash in boiling water), tsaoko cardamom (five), grain-of-paradise (two qian), onions (one handful), prepared mandarin orange peel (one qian; remove white), lesser galangal (two qian), kasni (one qian; same as angwa [asafoetida]).|Boil ingredients in one dou of water until done. Remove the tsaoko cardamom, etc. Then add two qian of black pepper, one qian of turmeric, vinegar and the five spices. Flavor evenly. Eat on an empty stomach.|狐肉汤|治虚弱，五藏邪气。|狐肉 五斤，汤洗净  草果 五个  缩砂 二钱  葱 一握  陈皮 一钱，去白  良姜 二钱  哈昔泥 一钱，即阿魏|上件，水一斗，煮熟，去草果等，次下胡椒二钱，姜黄一钱，醋、五味，调和匀，空心食之。
Black Chicken Soup|It cures asthenia internal impairment caused by overstrain, and evil qi of chest and abdomen.|Black chicken (one; pluck, clean and cut up into small pieces), prepared mandarin orange peel (one qian; remove white), lesser galangal (one qian), black pepper (two qian), tsaoko cardamom (two).|Combine ingredients with onions, vinegar, and sauce and put into a jug. Seal the mouth. Let boil until done. Eat on an empty stomach.|乌鸡汤|治虚弱，劳伤，心腹邪气。|乌雄鸡 一只， 洗净，切作块子  陈皮 一钱，去白  良姜 一钱  胡椒 二钱  草果 二个|上件，以葱、醋、酱相和，入瓶内，封口，令煮熟，空腹食。
Ghee Liquor|It cures asthenia and removes wind-wetness.|Ghee (one bowl).|Mix ingredient with a cup of liquor and drink warm. It is proven effective.|醍醐酒|治虚弱，去风湿。|醍醐 一 盏|上件，以酒一杯和匀，温饮之，效验。
Chinese Yam Tuo|It cures the various deficiencies, the five kinds of impairments and the seven kinds of wounds, cold ache of chest and abdomen, and damage to bone and marrow.|Sheep’s bone (five to seven chunks; meat attached), Chinese radish (one; cut into large slices), spring onions (one), tsaoko cardamom (five), prepared mandarin orange peel (one qian; remove white), lesser galangal (one qian), black pepper (two qian), grain-of-paradise (two qian), Chinese yams (two jin).|Boil ingredients together and take the juice. Clarify. Strain and remove the gross parts. Cook two jin of flour and two jin of Chinese yams. When done grind up into a mash. Apply flour to make the tuo. Add the five spices and eat on an empty stomach.|山药|治诸虚，五劳七伤，心腹冷痛，骨髓伤败。|羊骨 七五块，带肉  萝卜 一枚，切作大片  葱白 一茎  草果 五个  陈皮 一钱，去白  良姜 一钱  胡椒 二钱  缩砂 二钱  山药 二斤|上件同煮，取汁澄清，滤去滓，面二斤，山药二斤，煮熟，研泥，溲面作飥，入五味，空腹食之。
Chinese Yam Congee|It cures xulao diseases, and chronic chill of hectic fever due to yin-deficiency.|Mutton (one jin; remove fat and membrane; roast until cooked and grind into a paste), Chinese yams (one jin; cook thoroughly and grind into a paste).|Add three he of rice to meat broth containing ingredients. Boil into a congee. Take on an empty stomach.|山药粥|治虚劳，骨蒸，久冷。|羊肉 一斤，去脂膜，烂煮熟，研泥  山药 一斤，煮熟，研泥|上件，肉汤内下米三合，煮粥，空腹食之。
Sour Jujube Congee|It cures asthenia of the viscera, vexation and insomnia.|Sour jujubes (a bowl).|Use water for ingredient, twist [in a bag] and obtain the juice. Add three he of rice. Boil into a congee. Take on an empty stomach.|酸枣粥|治虚劳，心烦，不得睡卧。|酸枣仁 一碗|右用水，绞取汁，下米三合煮粥，空腹食之。
