Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
米哈讷关列孙|Miqan–u kö[n]lesün|羊后脚一个|One sheep’s rear leg|remove tendons and membrane; cut up and pulverize
颇儿必汤|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |颇儿必三四十个，水洗净。|Borbi[n]|30 or 40; clean with water
牛奶子烧饼|Cow’s Milk Buns|茴香|fennel|one liang. Slightly roasted
牛奶子烧饼|Cow’s Milk Buns|酥油|liquid butter|one jin
牛奶子烧饼|Cow’s Milk Buns|牛奶子|cow’s milk|two sheng
牛奶子烧饼|Cow’s Milk Buns|白面|White flour|five jin
黑子儿烧饼|Poppy Seed Buns|黑子儿|poppy seeds|one liang. Slightly roasted
黑子儿烧饼|Poppy Seed Buns|酥油|liquid butter|one jin
黑子儿烧饼|Poppy Seed Buns|牛奶子|cow’s milk|two sheng
黑子儿烧饼|Poppy Seed Buns|白面|White flour|five jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|芫荽叶|onions|four liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|醋|[and] [sheep’s] bitter bowel|one
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|葱|sheep’s stomach and lungs|two sets each
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|苦肠|eggs|30
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|羊肚肺|Chinese yams|three jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|鸡子|bean paste|four jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|山药|sprouting ginger|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|豆粉|vegetable oil|two jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|生姜|fruit of Gardenia jasminoides|four qian
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|小油|safflower|one liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|栀子|nuts [Pistachio nuts]|four liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|胭脂|pist|
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|必思答仁|walnuts|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|胡桃仁|apricot kernel paste|one chin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|杏泥|g [mushrooms]|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|蘑菇|m|
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|八檐仁|badam [almonds]|four liang
