Food_Name,Ingredient,Amount
香茶,麝香,二钱
香茶,百药煎,半钱
香茶,龙脑成片者,三钱
香茶,白茶,一袋
玉磨茶,上等紫笋五十斤，筛筒净，苏门炒米五十斤，筛筒净,
杏子油,杏子,不以多少，连皮捣碎
松子油,松子,不以多少，去皮，捣研为泥
赤赤哈纳即酸刺,赤赤哈纳,不以多少，水浸取汁
五味子舍儿别,白沙糖,八斤，炼净
五味子舍儿别,新北五味,十斤，去子，水浸取汁
小石榴煎,白沙蜜,十斤，炼净
小石榴煎,小石榴,二斗，蒸熟去子，研为泥
石榴浆,白沙糖,十斤，炼净
石榴浆,石榴子,十斤，取汁
桃煎,白沙蜜,二十斤，炼净
桃煎,大桃,一百个，去皮，切片取汁
樱桃煎,白沙糖,二十五斤
樱桃煎,樱桃,五十斤，取汁
金橘煎,白沙糖,三斤
金橘煎,金橘,五十个，去子取皮
紫苏煎,白沙糖,十斤，炼净
紫苏煎,干木瓜,五斤
紫苏煎,紫苏叶,五斤
株子煎,白沙糖,五斤，炼净
株子煎,株子,一百个，取净肉
香圆煎,白沙糖,十斤，炼净
香圆煎,香圆,二十个，去皮取肉
木瓜煎,白沙糖,十斤，炼净
木瓜煎,木瓜,十个，去皮穣，取汁，熬水尽
牛髓膏子,牛骨头内取油,二两
牛髓膏子,天门冬膏,一两
牛髓膏子,地黄膏,三两
牛髓膏子,黄精膏,五两
橙香饼儿,麝香,二钱，别研。
橙香饼儿,龙脑,二钱，别研
橙香饼儿,南硼砂,三钱，别研
橙香饼儿,荜澄茄,三钱
橙香饼儿,白豆蔻仁,五钱
橙香饼儿,缩砂,五钱
橙香饼儿,白檀,五钱
橙香饼儿,沉香,五钱
橙香饼儿,新橙皮,一两，焙，去白
答必纳饼儿,白纳八,五两，研
答必纳饼儿,新罗参,一两二钱，去芦，为末
答必纳饼儿,答必纳,二钱为末，即草龙胆
官桂渴忒饼儿,白纳八,三两，研
官桂渴忒饼儿,新罗参,一两二钱，去芦，为末
官桂渴忒饼儿,渴忒,一两二钱
官桂渴忒饼儿,官桂,二钱，为末
渴忒饼儿,白纳八,三两，研，系沙糖
渴忒饼儿,菖蒲,一钱，各为细末
渴忒饼儿,新罗参,一两，去芦
渴忒饼儿,渴忒,一两二钱
橘皮醒酲汤,盐,六两，炒
橘皮醒酲汤,白豆蔻仁,二两
橘皮醒酲汤,人参,二两，去芦
橘皮醒酲汤,绿豆花,半斤
橘皮醒酲汤,葛花,半斤
橘皮醒酲汤,檀香,四两
橘皮醒酲汤,陈橘皮,一斤，去白
橘皮醒酲汤,香橙皮,一斤，去白
木瓜汤,白沙蜜,二斤，炼净
木瓜汤,木瓜,四个，蒸熟，去皮，研烂如泥
白梅汤,盐,半斤
白梅汤,甘草,四两
白梅汤,白檀,四两
白梅汤,白梅肉,一斤
破气汤,盐,半斤
破气汤,甘草,半斤
破气汤,丁香,一两
破气汤,木香,一两
破气汤,姜黄,一两
破气汤,桂花,半斤
破气汤,陈皮,二两，去白
破气汤,荜澄茄,二两
破气汤,良姜,一两
破气汤,茴香,四两，炒
破气汤,杏仁,一斤，去皮、尖，麸炒，别研
茴香汤,盐,半斤，炒
茴香汤,甘草,四两，炒
茴香汤,陈皮,半斤，去白
茴香汤,川楝子,半斤
茴香汤,茴香,一斤，炒
枣姜汤,盐,二两，炒
枣姜汤,甘草,二两，炒
枣姜汤,枣,三升，去核，炒
枣姜汤,生姜,一斤，切作片
四和汤,盐,一两，炒
四和汤,茴香,二两，炒
四和汤,芝麻,一斤，炒
四和汤,白面,一斤，炒
山药汤,杏仁,二斤，炒令过熟，去皮、尖，切如米
山药汤,粟米,半升，炒，为面
山药汤,山药,一斤、煮熟
杏霜汤,盐,三两，炒
杏霜汤,杏仁,二升，去皮、尖，麸炒，研
杏霜汤,粟米,五升，炒，为面
仙术汤,盐,四两，炒
仙术汤,乾枣,二升，焙乾，为末
仙术汤,白面,一斤，炒
仙术汤,甘草,二两，炒，为末
仙术汤,茴香,二两，炒，为末
仙术汤,苍术,一斤，米泔浸三日，竹刀子切片，焙乾，为末
人参汤,沙糖,一斤
人参汤,紫苏叶,二两
人参汤,橘皮,一两，去白
人参汤,新罗参,四两，去芦，锉
五味子汤,沙糖,二斤
五味子汤,人参,四两，去芦，锉
五味子汤,紫苏叶,六两
五味子汤,北五味,一斤，净肉
梅子丸,麝香,一钱，研
梅子丸,檀香,二钱
梅子丸,甘草,一两，炙
梅子丸,紫苏叶,一两半
梅子丸,干木瓜,一两半
梅子丸,白梅,一两半，取肉
梅子丸,乌梅,一两半，取肉
荔枝膏,熟蜜,一十四两
荔枝膏,生姜汁,五两
荔枝膏,麝香,半钱，研
荔枝膏,沙糖,二十六两
荔枝膏,桂,一十两，去皮，锉
荔枝膏,乌梅,半斤，取肉
桂沉浆,沙糖,六两
桂沉浆,乌梅,一两，取肉
桂沉浆,沉香,三钱，锉
桂沉浆,紫苏叶,一两，锉
桂浆,白沙蜜,三斤，炼净。
桂浆,大麦蘖,半两，为末
桂浆,杏仁,一百个，汤洗，去皮、尖，生研为泥
桂浆,曲末,半斤
桂浆,桂,三两，去皮，为末
桂浆,赤茯苓,三两，去皮，为末
桂浆,熟水,二斗
桂浆,生姜,三斤，取汁
