Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
脑瓦剌|Näwälä|鸡子|eggs|20; cooked
脑瓦剌|Näwälä|熟羊胸子|Cooked sheep’s thoraxes|two; cut into thin strips
盐肠|Salt Stomach|羊苦|Sheep’s bitter bowel|Wash clean with water
派饼儿|Meat Cakes|芫荽末|finely ground coriander|one liang
派饼儿|Meat Cakes|荜拨|long pepper|one liang
派饼儿|Meat Cakes|胡椒|black pepper|two liang
派饼儿|Meat Cakes|哈昔泥|kasni|three qian
派饼儿|Meat Cakes|精羊肉|Select mutton|10 jin; remove the fat, membrane, and sinew. Mash into a paste
芙蓉鸡|Cotton Rose–[Petal] Chicken|染|apricot kernel paste|one jin
芙蓉鸡|Cotton Rose–[Petal] Chicken|胭脂|safflower [and] gardenia nuts|dyes
芙蓉鸡|Cotton Rose–[Petal] Chicken|打糁|Spinacia oleracea] and coriander|a garnish
芙蓉鸡|Cotton Rose–[Petal] Chicken|赤根|spinach [true spinach|
芙蓉鸡|Cotton Rose–[Petal] Chicken|鸡子|eggs|20; fry into omelets. Cut into flower shapes
芙蓉鸡|Cotton Rose–[Petal] Chicken|胡萝卜|carrots|10; cut up
芙蓉鸡|Cotton Rose–[Petal] Chicken|生姜|sprouting ginger|four liang; cut up
芙蓉鸡|Cotton Rose–[Petal] Chicken|羊肚、肺|sheep’s stomach and lungs|each one set; cook; cut up
芙蓉鸡|Cotton Rose–[Petal] Chicken|鸡儿|Chickens|10. When cooked, debone as morsels
鱼弹儿|Fish Cakes|哈昔泥|kasni|two qian
鱼弹儿|Fish Cakes|胡椒末|finely ground black pepper|one liang
鱼弹儿|Fish Cakes|陈皮末|finely ground prepared mandarin orange peel|three qian
鱼弹儿|Fish Cakes|葱|onions|two liang; cut up finely
鱼弹儿|Fish Cakes|生姜|sprouting ginger|one liang; cut up finely
鱼弹儿|Fish Cakes|羊尾子|sheep’s tail|two; mince together into a paste
鱼弹儿|Fish Cakes|大鲤鱼|Large carp|10; remove the skin, bones, head, and tail
带花羊头|Sheep’s Heads Dressed in Flowers|萝卜|Chinese radishes|three; cut into flower shapes
带花羊头|Sheep’s Heads Dressed in Flowers|鸡子|eggs|five; cut into flower shapes
带花羊头|Sheep’s Heads Dressed in Flowers|糟姜|pickled ginger|two liang; cut up each
带花羊头|Sheep’s Heads Dressed in Flowers|生姜|sprouting ginger|four liang
带花羊头|Sheep’s Heads Dressed in Flowers|羊肚肺|sheep’s stomach and lungs|one set of each; cook. When done, cut up. Debone as morsels. Dye with safflower
带花羊头|Sheep’s Heads Dressed in Flowers|羊腰|sheep’s loins|four
带花羊头|Sheep’s Heads Dressed in Flowers|羊头|Sheep’s heads|three. When cooked, cut up
鼓儿签子|Drum Qazi|料物|spices|three qian
鼓儿签子|Drum Qazi|陈皮|prepared mandarin orange peel|two qian; remove the white
鼓儿签子|Drum Qazi|葱|onions|two liang; cut up
鼓儿签子|Drum Qazi|生姜|sprouting ginger|two qian
鼓儿签子|Drum Qazi|鸡子|eggs|15
鼓儿签子|Drum Qazi|羊尾子|sheep’s tail|one; finely cut
鼓儿签子|Drum Qazi|羊肉|Mutton|five jin; finely cut
姜黄腱子|Turmeric[–Colored] Tendon|栀子|gardenia nuts [Gardenia jasminoides]|five qian
姜黄腱子|Turmeric[–Colored] Tendon|咱夫兰|za’faran|two qian
姜黄腱子|Turmeric[–Colored] Tendon|白面|white flour|one jin
姜黄腱子|Turmeric[–Colored] Tendon|豆粉|bean paste|one jin
姜黄腱子|Turmeric[–Colored] Tendon|羊肋枝|sheep ribs|two; cut into long chunks
姜黄腱子|Turmeric[–Colored] Tendon|羊腱子|Sheep’s tendon|one; cook.
河西肺|“Tangut” Lungs|生姜汁|juice of sprouting ginger|two he
河西肺|“Tangut” Lungs|胡椒|black pepper|two liang
河西肺|“Tangut” Lungs|酥油|butter|half a jin
河西肺|“Tangut” Lungs|面|flour|two jin; make into paste
河西肺|“Tangut” Lungs|韭|leeks|six jin; take the juice
河西肺|“Tangut” Lungs|羊肺|Sheep’s lung|one
盘兔|Plate Rabbit|片|fine spices|two qian
盘兔|Plate Rabbit|羊尾子|sheep’s tail|one; cut into strips.
盘兔|Plate Rabbit|萝卜|Chinese radishes|two cut up
盘兔|Plate Rabbit|兔儿|Rabbit|two; cut up into pieces.
炒鹌鹑|Roasted Quail|面|one|
炒鹌鹑|Roasted Quail|羊尾子|sheep’s tail|
炒鹌鹑|Roasted Quail|姜末|finely ground ginger|four liang
炒鹌鹑|Roasted Quail|萝卜|Chinese radishes|two; cut up
炒鹌鹑|Roasted Quail|鹌鹑|Quail|20; cut up into pieces
攒鸡儿|Deboned Chicken Morsels|小椒末|[wheat] flour|two liang; make into vermicelli
攒鸡儿|Deboned Chicken Morsels|姜末|finely ground Chinese flower pepper|four liang
攒鸡儿|Deboned Chicken Morsels|葱|finely ground ginger|half a jin
攒鸡儿|Deboned Chicken Morsels|生姜汁|onions|two liang; cut up
攒鸡儿|Deboned Chicken Morsels|洗净，熟切攒|juice of sprouting ginger|one he
攒鸡儿|Deboned Chicken Morsels|肥鸡儿|Fat chickens|ten; pluck; clean; cook and cut up. Debone as morsels
炙羊腰|Broiled Sheep’s Loins|咱夫兰|za’faran|
炙羊腰|Broiled Sheep’s Loins|羊腰|Sheep’s loins|one pair
炙羊心|Broiled Sheep’s Heart|咱夫兰|za’faran|three qian
炙羊心|Broiled Sheep’s Heart|羊心|Sheep’s heart|one, including major veins
撒速汤|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|哈昔泥|kasni|big as two chickpeas
撒速汤|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|生姜|sprouting ginger|half a jin
撒速汤|Se-aBru [Pomegranate] Soup (This is the name of a Western Indian Food)|官桂|cinnamon|three liang
