Food_Name,Effect,Ingredients,Steps
姜黄鱼,,鲤鱼 十个，去皮鳞  白面 二斤  豆粉 一斤  芫荽末 二两,上述食材，用盐和料物混合拌匀，将鱼腌制后，入油中炸至熟透，再加入生姜丝、芫荽叶、胭脂染制的辣椒酱和炒萝卜丝，用葱、盐、醋混合调味。
攒雁,,雁 五个，煮熟，切攒  姜末 半斤,右边的食材，用优质的肉汤炒制，然后加入葱和醋，混合均匀。
猪头姜豉,,猪头 二个，洗净，切成块  陈皮 二钱，去白  良姜 二钱  小椒 二钱  官桂 二钱 草果 五个  小油 一斤  蜜 半斤,上述食材，一同炖煮，然后加入芥末炒制，再加入葱、醋和盐，调和均匀。
蒲黄瓜齑,,净羊肉 十斤，煮熟，切如瓜齑  小椒 一两  蒲黄 半斤,上述食材，用细的调料物混合，再加入盐拌匀。
攒羊头,,羊头 五个，煮熟攒  姜末 四两  胡椒 一两,上述食材，用优质的肉汤炒制，然后加入葱、盐和醋，混合均匀。
攒牛蹄,马蹄和熊掌一同烹饪。,牛蹄 一副，煮熟，攒  姜末 二两,上述食材，用优质的肉汤炒制，再加入葱和醋，混合均匀。
细乞思哥,,羊肉 一脚子，煮熟，切细  萝卜 二个，熟，切细  羊尾子 一个，熟切  哈夫儿 二钱,上述食材，用优质的肉汤炒制，然后加入葱，调和均匀。
肝生,,羊肝 一个，水浸，切细丝  生姜 四两，切细丝  萝卜 二个，切细丝  香菜 蓼子 各二两，切细丝,上述食材，用盐、醋和芥末混合调和。
马肚盘,,马肚肠 一副，煮熟，切  芥末 半斤,上述食材，将白血灌肠，刻成花样，涩脾，和脂剁成心形，然后加入葱、盐、醋和芥末，混合均匀。
炸䐑儿,使用细的原料。,䐑儿 二个，卸成各一节  哈昔泥 一钱  葱 一两，切细,上述食材，用盐拌匀，稍微沥干，然后入油中炸至熟透。接着用咱夫兰泥、水浸浑和成的汁，加入料物和芫荽末，混合拌匀。
熬蹄儿,,羊蹄 五副，退洗净，煮软，切成块  姜末 一两  料物 五钱,上述食材，加入面丝，用葱、醋、盐混合调味。
熬羊胸子,,羊胸子 二个，退毛洗净，煮软，切作色数块  姜末 二两  料物 五钱,上述食材，用优质的肉汤，下面丝，再加入葱、盐和醋，混合均匀。
鱼,,新鲤鱼 五个，去皮、骨、头、尾  生姜 二两  萝卜 二个  葱 一两  香菜蓼子 各切如丝  胭脂 打糁。,上述食材，加入芥末炒制，然后加入葱、盐、醋，混合均匀。
红丝,,羊血同白面 依法煮熟  生姜 四两  萝卜 一个  香菜 蓼子 各一两，切细丝,上述食材，用盐、醋和芥末混合调和。
烧雁,烹饪方式，类似烧鸭子。,雁 一个，去毛、肠、肚，净  羊肚 一个，退洗净，包雁  葱 二两  芫荽末 一两,上述食材，用盐拌匀，然后填入雁腹内烧煮。
烧水札,,水札 十个， 洗净  芫荽末 一两  葱 十茎  料物 五钱,上述食材，可以用盐拌匀后烧制，或者使用肥油拌面制成，然后放入笼内蒸熟也行。另一种方法是，用酥油和水拌制成面团，然后放入炉内烘烤至熟。
