Food_Name,Effect,Ingredients,Steps
铁 瓮先生 琼玉膏,这膏药可以填补精气，滋养骨髓，肠胃能化为坚韧的筋肉。它充分供养了身体，五脏充盈，骨髓充足，血液充盈，头发由灰白变为乌黑，使人返老还童，步履如奔马一般。每天使用数剂，不需进食，也不会感到饥饿，能够激发内在的强烈意愿，每日念经万言，精神力量高超，夜晚不再产生梦境。如果在二十七岁之前使用此药，能够延年益寿，达到三百六十岁。四十五岁之前使用者，能够活到二百四十岁。六十三岁之前使用者，寿命可达一百二十岁。六十四岁及以上使用者，也能够活到一百岁。使用十剂后，能够克制私欲，修炼阴阳之功，成为地仙。这药分为五个部分，每部分能治愈五个人的疾病，分为十个部分，可以治愈十个人的劳累症。在服用时，需要洗浴至身心，不要轻易示人。,新罗参 二十四两，去芦  生地黄 一十六斤，汁  白茯苓 四十九两，去黑皮  白沙蜜 一十斤，炼净,将人参和茯苓磨成粉末，然后用蜜过滤，用地黄提取汁液，不使用铜铁器，榨尽汁液并去除杂质。将所有药物混合在一起，装入银石器或好的磁器中密封，用多层干净的纸封闭。然后将它们放入锅内，用桑柴火煮三昼夜。取出后，用蜡纸多次包住瓶口，然后放入井中隔离火毒一个伏时。再次取出后，放入旧的药汁中煮一天，等水气蒸发后取出并打开封口，每次服用三匙，用于祭拜天地和各种神祇，点香供奉，要心诚。每日空腹，将一匙药调入酒中饮用。
地仙煎,有助于治疗腰膝疼痛和腹中寒冷的疾病。能够让人面色红润，骨髓强壮，步履轻捷，如同奔马一般。,山药 一斤  杏仁 一升，汤泡，去皮、尖  生牛奶子 二升,将杏仁磨成细末，混合牛奶和山药，然后绞取汁液，密封在新的磁瓶中，煮一天。每日空腹，将一匙药调入酒中饮用。
金髓煎,能够延年益寿，增加精气，长期使用可以使白发变黑，实现返老还童。,枸杞 不以多少，采红熟者,将药材浸泡在无灰酒中，冬天浸泡六天，夏天浸泡三天，然后在沙盆中研磨成细末。接着使用布袋过滤出汁液，将其与之前浸泡的酒一同用慢火熬制成膏状，最后封存在干净的磁器内。煮熟时，每次服用一匙头，加入少许酥油，用温酒一同调服。
天门冬膏,有助于消散体内的积聚物、风痰、癞疾、三虫、伏尸等疾病，甚至可抵御瘟疫。使人身轻如燕，增加体内气力，无需频繁进食，延年不老。,天门冬 不以多少，去皮，去根、须，洗净,将上述材料捣碎，通过布袋过滤出汁液，使其澄清，然后使用磁器、沙锅或银器，用慢火熬制成膏状。每次服用一匙头，空腹时，用温酒一同调服。
服天门冬,《道书八帝经》：如果你不想怕寒冷，可以使用天门冬和茯苓制成的药末来服用。每天服用后，当遇到大寒时，你会出汗，只需穿着薄衣即可。据《抱朴子》记载，杜紫微服用天门冬，能够活到八十岁，并且有一百四十个子女，每天行走三百里。《列仙子》中也提到，赤松子食用天门冬后，可以使掉落的牙齿再生，细小的头发重新长出。《神仙传》中描述，甘始者是太原人，服用天门冬后，能够在人间活上三百年。《修真秘旨》中指出，神仙服用天门冬后，一百天后会变得心情愉快、面色和蔼，而身体瘦弱的人会变得强壮。三百天后，身体会变得轻盈。经过三年，能够如飞一般快速移动。,,
服地黄,《抱朴子》中提到，楚文子服用地黄八年后，夜间能够看见光亮，并且能够使用手上的车和弩。,,
服苍术,《抱朴子》还记录了南阳文氏的故事，他在逃离乱局时躲到壶山，饥饿困扰，后来有人教给他一种食物的方法，使他不再感到饥饿。过了数年后，他回到了故乡，面色变得更加年轻，体力更加强壮。根据《药经》的记载，如果想要长寿，可以服用山精，也就是苍术。,,
服茯苓,《抱朴子》记载了任季子服用茯苓十八年的故事，他后来有玉女随从，能够隐匿自己，不需要食用谷物，而脸上会散发出光芒。孙真人在《枕中记》中也提到，长期服用茯苓后，百种疾病会在一百天内消失。两百天后，每天早晚服用后，可以驱使鬼神。四年后，会有玉女前来侍奉。,,
服远志,《抱朴子》记载了陵阳仲子服用远志二十年的经历，他有三十个子女，并且可以开书即记不忘。,,
服五加皮酒,东华真人《煮石经》：舜常常去苍梧山，那里有一种叫做“五加”的香草，服用它可以延长寿命。因此有句谚语说：“宁可拥有一把五加，不用满车的金玉；宁可拥有一斤地榆，也不需要明月的宝珠。”古代的鲁国定公的母亲，单单服用了五加的皮制成的酒，就能够长生不老。像张子声、杨始建、王叔才、于世彦等人，都是古人服用五加皮酒，家室不断，寿命长达三百岁，生育了三十至二十个子女。世世代代服用五加皮酒，能够获得长寿。,,
服桂,《抱朴子》说：赵他子服用桂木二十年，他的毛发再生，一天可以走五百里，能举重千斤。,,
