Ingredient,category
半夏,chinese_medicinal_material
菵草,plant
藜芦,plant
凡石,other
皂角,chinese_medicinal_material
乌头,plant
白衡,chinese_medicinal_material
薏苡仁,chinese_medicinal_material
飞廉,plant
荆实,chinese_medicinal_material
人参桔梗,chinese_medicinal_material
乾姜,spice
蜀椒,spice
本,other
杜衡,plant
白芷,chinese_medicinal_material
附子,chinese_medicinal_material
秦椒,spice
款冬花,plant
柏实,chinese_medicinal_material
肉苁蓉,chinese_medicinal_material
白薇,chinese_medicinal_material
防风,chinese_medicinal_material
桂,plant
木兰,other
白术,plant
辛荑,chinese_medicinal_material
天门冬,chinese_medicinal_material
枸杞,chinese_medicinal_material
生牛奶子,fruit
杏仁,chinese_medicinal_material
山药,vegetable
白沙蜜,other
白茯苓,chinese_medicinal_material
生地黄,chinese_medicinal_material
新罗参,chinese_medicinal_material
草果,spice
小椒,spice
大鲫鱼,seafood
獭肝,meat
野猪肉,meat
白羊头,meat
乌驴皮,chinese_medicinal_material
酥油上件,dairy_product
恶实菜叶,plant
荆芥穗,plant
薄荷叶,plant
白粟米,grain
冬麻子,chinese_medicinal_material
豉,other
葛根,chinese_medicinal_material
生姜,spice
葱白,vegetable
粳米,grain
羊肚,meat
乌雌鸡,meat
熊肉,meat
狐肉,meat
乌驴肉,meat
胡椒,spice
乌驴头,meat
小麦,grain
马齿菜,vegetable
陈皮,chinese_medicinal_material
赤小豆,plant
大鲤鱼,seafood
葵菜叶,plant
鸡子黄,meat
白鹁鸽,meat
野鸡,meat
大萝卜,vegetable
青头鸭,meat
黄雌鸡,meat
葱,vegetable
肉,meat
乳饼,grain
白面,grain
荜拨,chinese_medicinal_material
缩砂,chinese_medicinal_material
大蒜,spice
生地黄汁,juice
桃仁,chinese_medicinal_material
羊脊骨,meat
鸡头,meat
鸡,meat
莲子,plant
良姜,spice
牛肉,meat
吴茱萸,plant
高良姜,spice
川椒,spice
酸枣仁,chinese_medicinal_material
羊肉,meat
萝卜,vegetable
羊骨,meat
醍醐,dairy_product
乌雄鸡,meat
哈昔泥,plant
黑牛髓,meat
鹿角,chinese_medicinal_material
鹿蹄,meat
鹿肾,meat
羊肾,meat
枸杞叶,chinese_medicinal_material
猪肾,meat
羊脂,meat
白羊肾,meat
盐,condiment
牛酥,meat
羊肝,meat
羊心,meat
羊肺,meat
生姜汁,juice
熟羊髓,meat
熟羊脂,meat
乌鸡,meat
饴糖,condiment
麝香,chinese_medicinal_material
百药煎,chinese_medicinal_material
龙脑成片者,other
白茶,tea
上等紫笋,vegetable
苏门炒米,grain
杏子,fruit
