category_en|Food_Name_en|category|Food_Name
Dish|Miqan–u kö[n]lesün|菜品|米哈讷关列孙
Soup|Borbi[n] Soup (this is the piteng bone [i.e., knee joint] of a sheep.) |汤|颇儿必汤
Pancake|Cow’s Milk Buns|饼|牛奶子烧饼
Pancake|Poppy Seed Buns|饼|黑子儿烧饼
Dish|Qurim “Bonnets” [i.e., boqtas]|菜品|荷莲兜子
Dish|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|菜品|天花包子
Dish|Shilön Horns|菜品|莳萝角儿
Dish|Päräk Horns|菜品|撇列角儿
Dish|Butter Skin Yubqa|菜品|酥皮奄子
Dish|Quartz Horns|菜品|水晶角儿
Steamed bun|Cut Flowers Manta|馒头|剪花馒头
Steamed bun|Cut Flowers Manta|馒头|剪花馒头
Steamed bun|Eggplant Manta|馒头|茄子馒头
Steamed bun|Eggplant Manta|馒头|茄子馒头
Steamed bun|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|馒头|鹿奶肪馒头
Steamed bun|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|馒头|鹿奶肪馒头
Steamed bun|Quick Manta|馒头|仓馒头
Steamed bun|Quick Manta|馒头|仓馒头
Dish|Willow–Steamed Lamb|菜品|柳蒸羊
Dish|Roast Eurasian Curlew|菜品|烧水札
Dish|Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|菜品|烧雁
Dish|Red Strips|菜品|红丝
Dish|Fine Fish Hash|菜品|鱼
Dish|Boiled Sheep’s Breast|菜品|熬羊胸子
Dish|Boiled Sheep’s Hooves|菜品|熬蹄儿
Dish|Scalded Jasa’a (a delicacy)|菜品|炸䐑儿
Dish|Horse Stomach Plate|菜品|马肚盘
Dish|Liver and Sprouting [Ginger]|菜品|肝生
Dish|Fine Chizig|菜品|细乞思哥
Dish|Deboned Ox Hoof Morsels (Horse’s Hoof, Bear’s Paw are entirely the same)|菜品|攒牛蹄
Dish|Deboned Sheep’s Head Morsels|菜品|攒羊头
