Food_Name|Effect|Ingredients|Steps
Cassia Syrup|It produces saliva and stops thirst, augments qi, and harmonizes the center. It eliminates dampness and expels retention of fluid. Sprouting ginger (three jin; take the juice), boiled water (two dou), red China root (three liang; remove skin and make a fine powder), cassia (three liang; remove skin and make a fine powder), finely ground yeast (half a jin), apricot kernels (100 nuts; blanch in boil- ing water, and remove the skin and tips; grind fresh to make a mash), malted wheat (half a jin; make into a powder), crystallized honey (three jin; refine).|[For] ingredients, use the aforementioned medicinals, the honey and the water and combine together evenly. Put into a clean crockery pot. Close up the mouth with several layers of oiled paper and seal well with mud. [Allow to ferment, when fermentation is finished] leave for three days in an ice cellar and it will be ready. [To drink] strain with floss silk. Put the [strained] slush into water. Drink during the hot months.
Cassia-Garuwood Syrup|It eliminates dampness and expels retention of fluid. It brings forth saliva, controls thirst and accords qi.|Purple perilla leaves [Perilla frutescens var. crispa] (one liang; cut up), garuwood (three qian; cut up), black Chinese apricots (one liang; take the meat), granulated sugar (six liang).|[For] the four ingredients use five or six bowls of water. Boil down to three bowls. Strain and remove the dregs. Add one sheng of Cassia Syrup. Combine into a syrup and drink.
Lichee Paste|It brings forth saliva, controls thirst and gets rid of irritation.|Black Chinese apricots (half a jin; take the meat), cassia (10 liang; remove the skin and cut up), crude granulated sugar (26 liang), musk deer musk (one-half qian; grind up), juice of sprouting ginger (five liang), cooked honey (14 liang).|[For] ingredients [i.e., black Chinese apricots and cassia] use one dou, five sheng of water. Boil down to half. Strain, remove dregs. Add the crude granulated sugar, and the juice of sprouting ginger. Boil again and get rid of the sediment. After it has become clear and settled for a short time, add the musk deer musk and mix together evenly. Allow to settle completely. Drink on a regular basis as desired.
Oriental Flowering Apricot [Prunus mume] Pellet|It brings forth saliva and controls thirst. It counteracts and transforms liquor poisons, and gets rid of dampness.|Black [i.e. fresh] oriental flowering apricots (one and one-half liang; take the meat), salted oriental flowering apricots (one and one-half liang; take the meat), dried Chinese quinces (one and one-half liang; finely ground), purple perilla leaves (one and one-half liang), liquorice6 (one liang; heat dry), sandalwood (three qian), musk deer musk (one qian; grind up).|Make a fine powder of ingredients. Add the musk deer musk and combine evenly. [Use] crude granulated sugar and make into a pellet as large as a crossbow pellet. Whenever one consumes a pellet, let dissolve in the mouth.
Red Currant Puree (Drink in Place of Grape Wine)|It brings forth saliva and controls thirst. It warms the essence and augments qi.|Red currants [“northern schisandra”] (one jin; clean the meat), purple perilla leaves (six liang), ginseng (four liang; remove the green shoots and cut up), crude granulated sugar (two jin).|[For] ingredients use two dou of water. Boil down to one dou. Strain and remove dregs. Let clear. Drink when one likes.
Ginseng Puree (Drink in Place of Liquor)|It accords the qi, opens the diaphragm, controls thirst and brings forth saliva.|Korean ginseng (four liang; remove green shoots and cut up), prepared mandarin orange peel (one liang; remove the white), purple perilla leaves (two liang), crude granulated sugar (one jin).|[For] ingredients use two dou of water. Boil down to one dou. Remove the dregs. Let clear. Drink when one likes.
Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|It gets rid of all qi that is not proper. It warms spleen and stomach before a meal and promotes the digestion of drink and food. It wards off pestilence and eliminates cold-wetness evil.|Tsangshu (one jin of seeds; soak for three days, slice with a bamboo knife. Dry over a fire and make into a fine powder), fennel (two liang; roast and make into a fine powder), liquorice (two liang; roast and make into a fine powder), white flour (one jin; roast), dried jujubes (two sheng; dry over a fire and make into a fine powder), salt (four liang; roast).|Mix ingredients together evenly. Take a little each day on an empty stomach in boiling water.
Apricot Frost Puree|It harmonizes and accords lung qi, benefits the diaphragm, and cures coughing.|Millet grains (five sheng; roast. Make a flour), apricot kernels (two sheng; remove the skin, tips and bran. Roast and grind up), salt (three liang; roast).|Mix ingredients together evenly. Take two qian dissolved in boiling water each day on an empty stomach. Add a little cream.8 It is all the better.
Chinese Yam [Dioscorea opposita] Puree|It augments for deficiency, increases qi, warms the center and moistens the lungs.|Chinese yams (one jin; cook until done), millet grains (half a sheng; roast. Make a flour), apricot kernels (two jin; roast until overdone. Remove the skin and tips. Cut up into grains).|Take two qian of ingredients [i.e., millet grains and apricot kernels] dissolved in boiling water each day on an empty stomach. Add a little liquid butter, and [the cooked] Chinese yams to taste.
“Four Harmonies Puree”|It cures chill pain of the abdomen, and disharmony of spleen and stomach.|White flour (one jin; roast), sesame [seeds] (one jin; roast), fennel (two liang; roast), salt (one liang; roast).|Make all ingredients into a fine powder. Take a little each day on an empty stomach in boiling water.
Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|It accords the stomach and promotes digestion of drink and food.|Sprouting ginger (one jin; cut into slices), jujubes (three jin; remove the pith; roast), liquorice (two liang; roast), salt (two liang; roast).|Make a fine powder of ingredients. Combine all ingredients together evenly. Take a little in boiling water each day on an empty stomach.
Fennel Puree|It cures asthenia of the store of primary energies, and chill pain of the middle abdomen.|Fennel (one jin; roast), Sichuan pagoda tree [Melia toosendan] fruits (one-half jin), prepared mandarin orange peel (one-half jin; remove the white), liquorice (four liang; roast), salt (one-half jin; roast).|Make ingredients into a fine powder. Combine together evenly. Each day take a little in boiling water on an empty stomach.
