Food_Name_en|Effect_en|Ingredients_en|Steps_en
Turmeric[–Colored] Fish||Carp (10; remove the skin and scales), white flour (two jin), bean paste (one jin), finely ground coriander (two liang).|[For the] ingredients, after making a marinate using salt and spices, marinate fish and fry in vegetable oil. When done, use two liang of sprouting ginger (cut into strips), coriander leaves, safflower dye, radish slices, and fry. Adjust flavors with onions.
Deboned Wild Goose Morsels||Wild geese (five; cook. When done cut up. Debone as morsels), finely ground ginger (half a jin).|[For] ingredients use a good meat soup and roast. Adjust flavors with onions and salt.
Galangal Sauce Hog’s Head||Hog’s head (two; wash; cut up into chunks), prepared mandarin orange peel (two qian; remove the white), lesser galangal (two qian), Chinese flower pepper (two qian), cinnamon (two qian), tsaoko cardamom (five), vegetable oil (one jin), honey (half a jin).|Boil ingredients together until done. Then add finely ground mustard and roast. Adjust flavors with onions, vinegar and salt.
Cattail “Sweet Melon Pickles”||Cleaned mutton (10 jin; cook. When done cut up to look like sweet melon pickles), Chinese flower pepper (one liang), cattail [rhizome] (half a jin).|[For] ingredients use one liang of fine spices. Apply evenly with salt.
Deboned Sheep’s Head Morsels|| Sheep’s head (five; cook. When done debone as morsels), finely ground ginger (four liang), black pepper (one liang).|[For] ingredients use a “good meat soup” and roast. Adjust flavors with onions, salt and vinegar.
Deboned Ox Hoof Morsels (Horse’s Hoof, Bear’s Paw are entirely the same)||Ox hooves (one set; cook. When done debone as morsels.), finely ground ginger (two liang).|[For] ingredients use a good meat soup and roast. Adjust flavors with onions and salt.
Fine Chizig||Mutton (leg; cook. When done cut up finely), Chinese radish (two; cook; cut up finely), sheep’s tail (one; cook; cut up), ka’fur [Camphor] (two qian).|[For] ingredients use a good meat soup and roast. Adjust flavors with onions.
Liver and Sprouting [Ginger]||Sheep’s liver (one; drench in water; cut into fine strips), sprouting ginger (four liang; cut into fine strips), Chinese radish (two liang; cut into fine strips), basil, smartweed (each two liang; cut up into fine strips).| [For] ingredients use a good meat soup and roast. Adjust flavors with onions.
Horse Stomach Plate||Horse stomach and intestines (one set; cook. When done cut up.), finely ground mustard (half a jin).|[For] ingredients, take the white blood irrigating bowel and cut into flower shapes. [Take] the astringent spleen, 99 combine with fat [i.e., suet] and mince as filling. When made into morsels, fry. Adjust flavors with onions, salt, vinegar, and finely ground mustard.
Scalded Jasa’a (a delicacy)||Jasa’a (two; unload; make each into a knot), kasni (one qian), onions (one liang; cut up finely).|[For] ingredient use salt and work together with everything else. Fry quickly [scald] in vegetable oil. When done, then use two qian of za’faran dissolv
Boiled Sheep’s Hooves||Ingredients: Sheep’s hooves (five hooves; remove the hair and wash; cook until tender; cut up into chunks), finely ground ginger (one liang), spices (five qian).|[To] ingredient add vermicelli and fry. Adjust flavors with onions, vinegar, and salt.
Boiled Sheep’s Breast||Sheep’s breasts (two; remove the hair and wash. Cook until tender. Cut up into sashuq–sized pieces), finely ground ginger (two liang), spices (five qian).|[For] ingredient use a good meat soup. Add flour vermicelli and fry. Adjust flavors with onions and vinegar.
Fine Fish Hash||Young carp (five; remove the skins, bones, head, and tail), sprouting ginger (two liang), Chinese radishes (two), onions (one liang), basil and smartweed (cut each into fine strips; mix with safflower).|[To] ingredients add finely ground mustard and fry. Adjust flavors with onions, salt and vinegar.
Red Strips||Sheep’s blood combined with white flour (Cook according to recipe), sprouting ginger (four liang), Chinese radish (one), basil and smartweed (each one liang; cut up into fine strips).|[For] ingredients use salt. Adjust flavors with vinegar and finely ground mustard.
Roast Wild Goose (Roast Cormorant and Roast Duck are the same)||Wild goose (one; remove the feathers, bowels, and stomach and clean.), sheep’s stomach [and attached skin] (one; remove the hair; clean and use to wrap up the wild goose), onions (two liang), finely ground coriander (one liang).|Use salt and flavor ingredients together [with the onions and ground coriander]. Put into the goose’s stomach [put goose into sheep’s stomach] and roast.
Roast Eurasian Curlew||Eurasian curlews (10; pluck; clean), finely ground coriander (one liang), onions (ten stalks), spices (five qian).|Apply [coriander, onions and spices] uniformly [to] ingredients and roast. One may dress the curlews in a thick flour and steamroast until done in a cage; this is also possible. One may dress the curlews with liquid butter combined with flour, and brazier cook in a brazier; this is also possible.
