Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
鲫鱼羹|Bream Soup|草果|tsaoko cardamom|one qian; make a fine powder
鲫鱼羹|Bream Soup|小椒|Jinese flower pepper|two qian; make a fine powder
鲫鱼羹|Bream Soup|大鲫鱼|Large bream|one; young and fresh; wash clean and cut up into strips
獭肝羹|Otter Liver Gruel|獭肝|Otter liver|one
野猪|Wild Pig Meat Broth|野猪肉|Wild pig meat|two jin; cut up finely
羊头脍|Sheep’s Head Hash|白羊头|White sheep’s head|one; pluck and wash clean.
乌驴皮汤|Black Donkey Skin Soup|乌驴皮|Black donkey’s skin|one sheet; remove hair, wash clean
恶实菜|Burdock. (This is niupangzi. Another name is shuzhan zi.)|酥油上件|liquid butter|
恶实菜|Burdock. (This is niupangzi. Another name is shuzhan zi.)|恶实菜叶|Burdock [Arctium lappa] leaves|tender and thick
麻子粥|Hemp Seed Congee|荆芥穗|Schizonepeta tenuifolia herb|one liang
麻子粥|Hemp Seed Congee|薄荷叶|field mint leaves|one liang
麻子粥|Hemp Seed Congee|白粟米|white millet grains|three he
麻子粥|Hemp Seed Congee|冬麻子|Hemp seeds [Cannabis sativa]|two liang; roast; remove the skins and grind up
荆芥粥|Schizonepeta tenuifolia Congee|白粟米|white millet seeds|three he
荆芥粥|Schizonepeta tenuifolia Congee|豉|salted fruits|three he
荆芥粥|Schizonepeta tenuifolia Congee|薄荷叶|field mint leaves|one liang
荆芥粥|Schizonepeta tenuifolia Congee|荆芥穗|S. tenuifolia herb|one liang
葛粉羹|Kudzu Starch Gruel|豉|salted fruits|three he
葛粉羹|Kudzu Starch Gruel|荆芥穗|Schizonepeta tenuifolia herb|one liang
葛粉羹|Kudzu Starch Gruel|葛根|Kudzu starch|half a jin; pound to get four liang of the starch
羊肚羹|Sheep’s Stomach Gruel|生姜|sprouting ginger|two qian and a half. Cut up finely
羊肚羹|Sheep’s Stomach Gruel|蜀椒|Chinese flower pepper [Sichuan Pepper]|Remove the closed up corns, roast to bring out the juice; 30 corns
羊肚羹|Sheep’s Stomach Gruel|半合|salted fruits|half a he
羊肚羹|Sheep’s Stomach Gruel|葱白数茎|green onions|several
羊肚羹|Sheep’s Stomach Gruel|粳米|non-glutinous rice|two he
羊肚羹|Sheep’s Stomach Gruel|羊肚|Sheep’s stomach|one; wash clean
乌鸡酒|Black Chicken Liquor|乌雌鸡|Black hen|one; pluck and wash clean. Remove the entrails
熊肉羹|Bear Meat Gruel|熊肉|Bear meat|one jin
狐肉羹|Fox Meat Gruel|狐肉|Fox meat|The quantity does not matter. Include organ meat.
驴肉汤|Donkey’s Meat Soup|乌驴肉|Meat of a black donkey|The quantity does not matter. Cut up.
驴头羹|Donkey’s Head Gruel|胡椒|tsaoko cardamom|two qian
驴头羹|Donkey’s Head Gruel|洗净|black pepper|two qian
驴头羹|Donkey’s Head Gruel|乌驴头|Black donkey’s head|one; remove hair and wash clean
小麦粥|Wheat Congee|小麦|Wheat|Scour clean. It does not matter if a lot or little is used.
马齿菜粥|Purslane [Portulaca oleracea] Congee|马齿菜|Purslane|Wash clean. Take the juice.
鲤鱼汤|Carp Soup|草果|tsaoko cardamom|two qian
鲤鱼汤|Carp Soup|小椒|Chinese flower pepper|two qian
鲤鱼汤|Carp Soup|陈皮|prepared mandarin orange peel|two qian; remove white
鲤鱼汤|Carp Soup|赤小豆|adzuki beans|one he
鲤鱼汤|Carp Soup|大鲤鱼|Large carp|one
葵菜羹|Chinese Mallow Gruel|葵菜叶|Mallow leaves|It does not matter if they are many or few. Wash, select and clean.
鸡子黄|Egg Yolk|鸡子黄|Egg yolk|one; use fresh
鹁鸽羹|Pigeon Gruel|白鹁鸽|White pigeon|one; cut up into large slices
野鸡羹|Pheasant Gruel|野鸡|Pheasant|one; pluck and clean
萝卜粥|Chinese Radish Congee|大萝卜|Large Chinese radish|
青鸭羹|Green[-headed] Duck [Male Mallard] Gruel|草果|tsaoko cardamoms|five
青鸭羹|Green[-headed] Duck [Male Mallard] Gruel|青头鸭|Green-headed duck|one, skin and clean
黄雌鸡|Yellow Hen|草果|adzuki beans [“Red Small Beans”]|one sheng
黄雌鸡|Yellow Hen|净|tsaoko cardamom|two qian
黄雌鸡|Yellow Hen|黄雌鸡|Yellow hen|one; pluck and clean
肉羹|Chinese Badger Meat Gruel|草果|tsaoko cardamoms|three
肉羹|Chinese Badger Meat Gruel|葱|onions|a handful
肉羹|Chinese Badger Meat Gruel|肉|Chinese badger meat|one jin; cut up finely
炙黄鸡|Broiled Yellow Chicken|黄雌鸡|Yellow hen|one; pluck and clean
乳饼面|Cheese Flour|乳饼|Cheese|one; cut up into bean-sized pieces
炒黄面|Roasted Yellow Flour|白面|White flour|one jin; roast, scorch yellow
鲫鱼羹|Bream Gruel|荜拨|long pepper|two qian
鲫鱼羹|Bream Gruel|缩砂|grain-of-paradise|two qian
鲫鱼羹|Bream Gruel|陈皮|prepared mandarin orange peel|two qian
鲫鱼羹|Bream Gruel|小椒|Chinese flower pepper|two qian
鲫鱼羹|Bream Gruel|胡椒|black pepper|two qian
鲫鱼羹|Bream Gruel|大蒜|large garlic|two chunks
鲫鱼羹|Bream Gruel|大鲫鱼|Large bream|two jin
生地黄粥|Sprouting Chinese Foxglove Congee|生地黄汁|Juice of sprouting Chinese foxglove|two he
桃仁粥|Peach Seed Congee|桃仁|Peach seeds|three liang; cook in broth. When done remove the ends and skin. Grind
鸡头粉羹|Euryale Fruits Gruel Powder|羊脊骨|sheep’s spine|one set, with meat. Decoct. Take the juice
鸡头粉羹|Euryale Fruits Gruel Powder|鸡头|Euryale fruits|grind into a powder
鸡头粥|Euryale Fruits Congee|鸡|Euryale fruits|three he
莲子粥|Lotus Seed Congee|莲子|Lotus seeds|one sheng; remove hearts
牛肉脯|Dried Beef|良姜|lesser galangal|two qian
牛肉脯|Dried Beef|缩砂|grain-of-paradise|two qian
牛肉脯|Dried Beef|草果|tsaoko cardamom|two qian
牛肉脯|Dried Beef|陈皮|prepared mandarin orange peel|two qian; remove white
牛肉脯|Dried Beef|荜拨|long pepper|five qian
牛肉脯|Dried Beef|胡椒|black pepper|five qian
牛肉脯|Dried Beef|牛肉|Beef|five jin; remove fat and membrane, cut up into large strips.
吴茱萸粥|Evodia Fruit Congee|吴茱萸|Evodia fruits|half a liang; wash with water and remove the effusion. Dry, roast and make fine a powder
良姜粥|Lesser Galangal Congee|粳米|non-glutinous rice|three he
良姜粥|Lesser Galangal Congee|高良姜|Lesser galangal|half a liang; make into fine powder
荜拨粥|Long Pepper Congee|桂|cassia|five qian
荜拨粥|Long Pepper Congee|胡椒|black pepper|one liang
荜拨粥|Long Pepper Congee|荜拨|Long pepper|one liang
椒面羹|Chinese Flower Pepper Dough Gruel|白面|flour|four liang
椒面羹|Chinese Flower Pepper Dough Gruel|川椒|Chinese flower pepper|three qian; roast and make into a powder
生地黄粥|Sprouting Chinese Foxglove Congee|酸枣仁|sour jujubes|
生地黄粥|Sprouting Chinese Foxglove Congee|生地黄汁|Sprouting Chinese foxglove juice|one he
酸枣粥|Sour Jujube Congee|酸枣仁|Sour jujubes|a bowl
山药粥|Chinese Yam Congee|山药|Chinese yams|one jin; cook thoroughly and grind into a paste
山药粥|Chinese Yam Congee|羊肉|Mutton|one jin; remove fat and membrane; roast until cooked and grind into a paste
山药|Chinese Yam Tuo|山药|Chinese yams|two jin
山药|Chinese Yam Tuo|缩砂|grain-of-paradise|two qian
山药|Chinese Yam Tuo|胡椒|black pepper|two qian
山药|Chinese Yam Tuo|良姜|lesser galangal|one qian
山药|Chinese Yam Tuo|陈皮|prepared mandarin orange peel|one qian; remove white
山药|Chinese Yam Tuo|草果|tsaoko cardamom|five
山药|Chinese Yam Tuo|葱白|spring onions|one
山药|Chinese Yam Tuo|萝卜|Chinese radish|one; cut into large slices
山药|Chinese Yam Tuo|羊骨|Sheep’s bone|five to seven chunks; meat attached
醍醐酒|Ghee Liquor|醍醐|Ghee|one bowl
乌鸡汤|Black Chicken Soup|胡椒|tsaoko cardamom|two
乌鸡汤|Black Chicken Soup|良姜|black pepper|two qian
乌鸡汤|Black Chicken Soup|陈皮|lesser galangal|one qian
乌鸡汤|Black Chicken Soup|洗净，切作块子|prepared mandarin orange peel|one qian; remove white
乌鸡汤|Black Chicken Soup|乌雄鸡|Black chicken|one; pluck, clean and cut up into small pieces
狐肉汤|Fox Meat Soup|哈昔泥|kasni|
狐肉汤|Fox Meat Soup|良姜|lesser galangal|two qian
狐肉汤|Fox Meat Soup|陈皮|prepared mandarin orange peel|one qian; remove white
狐肉汤|Fox Meat Soup|葱|onions|one handful
狐肉汤|Fox Meat Soup|缩砂|grain-of-paradise|two qian
狐肉汤|Fox Meat Soup|草果|tsaoko cardamom|five
狐肉汤|Fox Meat Soup|狐肉|Fox meat|five jin; wash in boiling water
黑牛髓煎|Black Ox Marrow Decoction|白沙蜜|crystallized honey|half a jin; roast; remove wax
黑牛髓煎|Black Ox Marrow Decoction|生地黄汁|juice of sprouting Chinese foxglove|half a jin
黑牛髓煎|Black Ox Marrow Decoction|黑牛髓|Black ox marrow|half a jin
鹿角酒|Deer Horn Liquor|鹿角|Deer horn|young horn, two to three cun in length; roast red
鹿蹄汤|Deer Feet Soup|草果|tsaoko cardamom|two qian
鹿蹄汤|Deer Feet Soup|陈皮|prepared mandarin orange peel|two qian
鹿蹄汤|Deer Feet Soup|鹿蹄|Deer feet|four pair
羊肉羹|Mutton Gruel|胡椒|spring onions|three
羊肉羹|Mutton Gruel|荜拨|black pepper|one qian
羊肉羹|Mutton Gruel|良姜|long pepper|one qian
羊肉羹|Mutton Gruel|陈皮|lesser galangal|one qian
羊肉羹|Mutton Gruel|钱|prepared mandarin orange peel|one qian; remove white
羊肉羹|Mutton Gruel|草果|tsaoko cardamom|one qian
羊肉羹|Mutton Gruel|萝卜|Chinese radish|one; cut into slices
羊肉羹|Mutton Gruel|羊肉|Mutton|half a jin; cut up finely
