Food_Name,Ingredient,Amount
香茶,麝香,二钱
香茶,百药煎,半钱
香茶,龙脑成片者,三钱
香茶,白茶,一袋
玉磨茶,上等紫笋,五十斤
玉磨茶,苏门炒米,五十斤
杏子油,杏子,不以多少
松子油,松子,不以多少
赤赤哈纳即酸刺,赤赤哈纳,不以多少
五味子舍儿别,白沙糖,八斤
五味子舍儿别,新北五味,十斤
小石榴煎,白沙蜜,十斤
小石榴煎,小石榴,二斗
石榴浆,白沙糖,十斤
石榴浆,石榴子,十斤
桃煎,白沙蜜,二十斤
桃煎,大桃,一百个
樱桃煎,白沙糖,二十五斤
樱桃煎,樱桃,五十斤
金橘煎,白沙糖,三斤
金橘煎,金橘,五十个
紫苏煎,白沙糖,十斤
紫苏煎,干木瓜,五斤
紫苏煎,紫苏叶,五斤
株子煎,白沙糖,五斤
株子煎,株子,一百个
香圆煎,白沙糖,十斤
香圆煎,香圆,二十个
木瓜煎,白沙糖,十斤
木瓜煎,木瓜,十个
牛髓膏子,牛骨头内取油,二两
牛髓膏子,天门冬膏,一两
牛髓膏子,地黄膏,三两
牛髓膏子,黄精膏,五两
橙香饼儿,麝香,二钱
橙香饼儿,龙脑,二钱
橙香饼儿,南硼砂,三钱
橙香饼儿,荜澄茄,三钱
橙香饼儿,白豆蔻仁,五钱
橙香饼儿,缩砂,五钱
橙香饼儿,白檀,五钱
橙香饼儿,沉香,五钱
橙香饼儿,新橙皮,一两
答必纳饼儿,白纳八,五两
答必纳饼儿,新罗参,一两二钱
答必纳饼儿,答必纳,二钱
官桂渴忒饼儿,白纳八,三两
官桂渴忒饼儿,新罗参,一两二钱
官桂渴忒饼儿,渴忒,一两二钱
官桂渴忒饼儿,官桂,二钱
渴忒饼儿,白纳八,三两
渴忒饼儿,系沙糖,
渴忒饼儿,菖蒲,一钱
渴忒饼儿,新罗参,一两
渴忒饼儿,渴忒,一两二钱
橘皮醒酲汤,盐,六两
橘皮醒酲汤,白豆蔻仁,二两
橘皮醒酲汤,人参,二两
橘皮醒酲汤,绿豆花,半斤
橘皮醒酲汤,葛花,半斤
橘皮醒酲汤,檀香,四两
橘皮醒酲汤,陈橘皮,一斤
橘皮醒酲汤,香橙皮,一斤
木瓜汤,白沙蜜,二斤
木瓜汤,木瓜,四个
白梅汤,盐,半斤
白梅汤,甘草,四两
白梅汤,白檀,四两
白梅汤,白梅肉,一斤
破气汤,盐,半斤
破气汤,甘草,半斤
破气汤,丁香,一两
破气汤,木香,一两
破气汤,姜黄,一两
破气汤,桂花,半斤
破气汤,陈皮,二两
破气汤,荜澄茄,二两
破气汤,良姜,一两
破气汤,茴香,四两
破气汤,杏仁,一斤
茴香汤,盐,半斤
茴香汤,甘草,四两
茴香汤,陈皮,半斤
茴香汤,川楝子,半斤
茴香汤,茴香,一斤
枣姜汤,盐,二两
枣姜汤,甘草,二两
枣姜汤,枣,三升
枣姜汤,生姜,一斤
四和汤,盐,一两
四和汤,茴香,二两
四和汤,芝麻,一斤
四和汤,白面,一斤
山药汤,杏仁,二斤
山药汤,粟米,半升
山药汤,山药,一斤
杏霜汤,盐,三两
杏霜汤,杏仁,二升
杏霜汤,粟米,五升
仙术汤,盐,四两
仙术汤,乾枣,二升
仙术汤,白面,一斤
仙术汤,甘草,二两
仙术汤,茴香,二两
仙术汤,苍术,一斤
人参汤,沙糖,一斤
人参汤,紫苏叶,二两
人参汤,橘皮,一两
人参汤,新罗参,四两
五味子汤,沙糖,二斤
五味子汤,人参,四两
五味子汤,紫苏叶,六两
五味子汤,北五味,一斤
梅子丸,麝香,一钱
梅子丸,檀香,二钱
梅子丸,甘草,一两
梅子丸,紫苏叶,一两半
梅子丸,干木瓜,一两半
梅子丸,白梅,一两半
梅子丸,乌梅,一两半
荔枝膏,熟蜜,一十四两
荔枝膏,生姜汁,五两
荔枝膏,麝香,半钱
荔枝膏,沙糖,二十六两
荔枝膏,桂,一十两
荔枝膏,乌梅,半斤
桂沉浆,沙糖,六两
桂沉浆,乌梅,一两
桂沉浆,沉香,三钱
桂沉浆,紫苏叶,一两
桂浆,白沙蜜,三斤
桂浆,大麦蘖,半两
桂浆,杏仁,一百个
桂浆,曲末,半斤
桂浆,桂,三两
桂浆,赤茯苓,三两
桂浆,熟水,二斗
桂浆,生姜,三斤
