Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
杏子油|Apricot Seed Oil|杏子|Apricot seeds|it does not matter whether a lot or a few are used; smash into fragments along with the skins
松子油|Pine Seed Oil|松子|Pine seeds|it does not matter whether a lot or few are used; remove the skin; pound down into a mash
赤赤哈纳即酸刺|Cicigina (a kind of Suanci [Ziziphus spp.])|赤赤哈纳|Cicigina|it does not matter whether a lot or a little is used; immerse in water; take the juice
五味子舍儿别|Red Currant Sharba[t]|白沙糖|white granulated sugar|eight jin; refine
五味子舍儿别|Red Currant Sharba[t]|新北五味|Fresh northern red currants|ten jin; remove the seed. Immerse in water and take the juice
小石榴煎|Rose [Rosa laevigata and other Rosa spp.] Hips Concentrate|白沙蜜|crystallized honey|ten jin; refine
小石榴煎|Rose [Rosa laevigata and other Rosa spp.] Hips Concentrate|小石榴|Rose hips|two dou; steam. When done remove the seeds; grind into a mash
石榴浆|Pomegranate Syrup|白沙糖|white sugar|ten jin; refine
石榴浆|Pomegranate Syrup|石榴子|Pomegranate seeds|10 jin; take the juice
桃煎|Peach Concentrate|白沙蜜|crystallized honey|two jin; refine
桃煎|Peach Concentrate|大桃|Large peaches|100; remove the skins, cut into slices and take the juice
樱桃煎|Cherry [Prunus pseudocerasus] Concentrate|白沙糖|white granulated sugar|24 jin; refine
樱桃煎|Cherry [Prunus pseudocerasus] Concentrate|樱桃|Cherries|50 jin; take the juice
金橘煎|Kumquat [Fortunella margarita] Concentrate|白沙糖|white granulated sugar|three jin
金橘煎|Kumquat [Fortunella margarita] Concentrate|金橘|Kumquats|50; remove the seeds and take the skin
紫苏煎|Purple Perilla Concentrate|白沙糖|white granulated sugar|ten jin; refine
紫苏煎|Purple Perilla Concentrate|干木瓜|dried Chinese quince|five jin
紫苏煎|Purple Perilla Concentrate|紫苏叶|Purple perilla leaf|five jin
株子煎|Hazelnut Concentrate|白沙糖|white granulated sugar|five jin; refine
株子煎|Hazelnut Concentrate|株子|Hazelnuts|100 pieces; take the cleaned meat
香圆煎|Citron [including Citrus medica, also C. medica var. sarcodactylis] Concentrate|白沙糖|white granulated sugar|two jin; refine
香圆煎|Citron [including Citrus medica, also C. medica var. sarcodactylis] Concentrate|香圆|Citrons|20 pieces; remove the skin and take the meat
木瓜煎|Chinese Quince Concentrate|白沙糖|white granulated sugar|Ten jin; refine
木瓜煎|Chinese Quince Concentrate|木瓜|Chinese quinces|10; remove the skin and stems, take the juice. Boil down until the liquid is gone
牛髓膏子|Cow Medullae Paste|牛骨头内取油|oil from cow skull marrow|two liang
牛髓膏子|Cow Medullae Paste|天门冬膏|Chinese asparagus [Asparagus lucidus or A. cojinjinensis] paste|three liang
牛髓膏子|Cow Medullae Paste|地黄膏|Chinese foxglove [Rehmannia glutinosa] paste|three liang
牛髓膏子|Cow Medullae Paste|黄精膏|Solomon’s seal [Polygonatum cirrhifolium or P. multiflorum] paste|five liang
橙香饼儿|Fragrant Orange Aromatic Cakes|麝香|musk deer musk|two qian; grind separately
橙香饼儿|Fragrant Orange Aromatic Cakes|龙脑|baroos camphor [Dryobalanops aromatica resin]|one qian; grind separately
橙香饼儿|Fragrant Orange Aromatic Cakes|南硼砂|southern borax|three qian; grind separately
橙香饼儿|Fragrant Orange Aromatic Cakes|荜澄茄|cubebs|three qian
橙香饼儿|Fragrant Orange Aromatic Cakes|白豆蔻仁|cardamom kernel|five qian
橙香饼儿|Fragrant Orange Aromatic Cakes|缩砂|grain-of-paradise|five qian
橙香饼儿|Fragrant Orange Aromatic Cakes|白檀|white sandalwood|five qian
橙香饼儿|Fragrant Orange Aromatic Cakes|沉香|garuwood|five qian
橙香饼儿|Fragrant Orange Aromatic Cakes|新橙皮|New fragrant orange peel|one liang; dry over a fire; remove white
答必纳饼儿|Tabilqa Cakes|白纳八|finely powdered|
答必纳饼儿|Tabilqa Cakes|新罗参|two qian|
答必纳饼儿|Tabilqa Cakes|答必纳|Tabilqa|
官桂渴忒饼儿|Cinnamon Qatiq Cakes|白纳八|white nabat|three liang; powder
官桂渴忒饼儿|Cinnamon Qatiq Cakes|新罗参|Korean ginseng|one liang; remove green shoots, make a fine powder
官桂渴忒饼儿|Cinnamon Qatiq Cakes|渴忒|qatiq|one liang, two qian
官桂渴忒饼儿|Cinnamon Qatiq Cakes|官桂|Cinnamon|two qian; make a fine powder
渴忒饼儿|Qatiq Cakes|白纳八|white nabat|three liang; powder. This is a kind of sugar
渴忒饼儿|Qatiq Cakes|菖蒲|acorus root|one qian; grind each to a fine powder
渴忒饼儿|Qatiq Cakes|新罗参|Korean ginseng|one liang; remove green shoots
渴忒饼儿|Qatiq Cakes|渴忒|Qatiq|one liang, two qian
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|盐|salt|six liang; roast
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|白豆蔻仁|cardamom kernel|two liang
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|人参|ginseng|two liang; remove the green shoots
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|绿豆花|mungbean flower|one-half jin
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|葛花|kudzu flower|one-half jin
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|檀香|sandalwood|four liang
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|陈橘皮|prepared mandarin orange peel|
橘皮醒酲汤|Detoxifying Dried Orange Peel Puree|香橙皮|[Prepared] fragrant orange [Citrus sinensis] peel|one jin; remove the white.
木瓜汤|Chinese Quince [Chaenomeles sinensis] Puree|白沙蜜|crystallized honey|two jin; refine
木瓜汤|Chinese Quince [Chaenomeles sinensis] Puree|木瓜|Chinese quinces|four pieces; steam cook. Remove the skin and grind, mashing up finely
白梅汤|Oriental Flowering Apricot [Prunus mume] Puree|盐|salt|one-half jin
白梅汤|Oriental Flowering Apricot [Prunus mume] Puree|甘草|liquorice|four liang
白梅汤|Oriental Flowering Apricot [Prunus mume] Puree|白檀|white sandalwood|four liang
白梅汤|Oriental Flowering Apricot [Prunus mume] Puree|白梅肉|Salted oriental flowering apricots|one jin
破气汤|Puree for Stagnant Qi|甘草|salt|one half jin
破气汤|Puree for Stagnant Qi|丁香|liquorice|one-half jin
破气汤|Puree for Stagnant Qi|木香|muxiang [root of Vladimiria souliei or Saussurea lappa]|one liang
破气汤|Puree for Stagnant Qi|姜黄|turmeric|
破气汤|Puree for Stagnant Qi|桂花|kueihua [Osmanthus fragrans] flowers|one-half jin
破气汤|Puree for Stagnant Qi|陈皮|prepared mandarin orange peel|two liang; remove the white
破气汤|Puree for Stagnant Qi|荜澄茄|cubebs [Litsea cubeba]|
破气汤|Puree for Stagnant Qi|良姜|lesser galangal|one liang
破气汤|Puree for Stagnant Qi|茴香|fennel|four liang; roast
破气汤|Puree for Stagnant Qi|杏仁|Apricot kernels|one jin; remove the skin, tips and bran; roast and grind up separately
茴香汤|Fennel Puree|盐|salt|one-half jin; roast
茴香汤|Fennel Puree|甘草|liquorice|four liang; roast
茴香汤|Fennel Puree|陈皮|prepared mandarin orange peel|one-half jin; remove the white
茴香汤|Fennel Puree|川楝子|Sichuan pagoda tree [Melia toosendan] fruits|one-half jin
茴香汤|Fennel Puree|茴香|Fennel|one jin; roast
枣姜汤|Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|盐|salt|two liang; roast
枣姜汤|Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|甘草|liquorice|two liang; roast
枣姜汤|Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|枣|jujubes|three jin; remove the pith; roast
枣姜汤|Jujube [Zizyphus jujuba and other Z. spp] and Ginger Puree|生姜|Sprouting ginger|one jin; cut into slices
四和汤|“Four Harmonies Puree”|盐|salt|one liang; roast
四和汤|“Four Harmonies Puree”|茴香|fennel|two liang; roast
四和汤|“Four Harmonies Puree”|芝麻|sesame [seeds]|one jin; roast
四和汤|“Four Harmonies Puree”|白面|White flour|one jin; roast
山药汤|Chinese Yam [Dioscorea opposita] Puree|杏仁|apricot kernels|two jin; roast until overdone. Remove the skin and tips. Cut up into grains
山药汤|Chinese Yam [Dioscorea opposita] Puree|粟米|millet grains|half a sheng; roast. Make a flour
山药汤|Chinese Yam [Dioscorea opposita] Puree|山药|Chinese yams|one jin; cook until done
杏霜汤|Apricot Frost Puree|盐|salt|three liang; roast
杏霜汤|Apricot Frost Puree|杏仁|apricot kernels|two sheng; remove the skin, tips and bran. Roast and grind up
杏霜汤|Apricot Frost Puree|粟米|Millet grains|five sheng; roast. Make a flour
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|盐|salt|four liang; roast
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|乾枣|dried jujubes|two sheng; dry over a fire and make into a fine powder
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|白面|white flour|one jin; roast
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|甘草|liquorice|two liang; roast and make into a fine powder
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|茴香|fennel|two liang; roast and make into a fine powder
仙术汤|Immortal’s Tsangshu [Atractylodes chinensis and other A. spp] [Seed] Puree|苍术|Tsangshu|one jin of seeds; soak for three days, slice with a bamboo knife. Dry over a fire and make into a fine powder
人参汤|Ginseng Puree (Drink in Place of Liquor)|沙糖|crude granulated sugar|one jin
人参汤|Ginseng Puree (Drink in Place of Liquor)|紫苏叶|purple perilla leaves|two liang
人参汤|Ginseng Puree (Drink in Place of Liquor)|橘皮|prepared mandarin orange peel|one liang; remove the white
