Food_Name,Ingredient,Amount
脑瓦剌,鸡子,二十个，熟
脑瓦剌,熟羊胸子,二个，切薄片
盐肠,羊苦,
派饼儿,芫荽末,一两
派饼儿,荜拨,一两
派饼儿,胡椒,二两
派饼儿,哈昔泥,三钱
派饼儿,精羊肉,十斤，去脂膜筋，捶为泥
芙蓉鸡,杏泥,一斤
芙蓉鸡,染,
芙蓉鸡,胭脂,
芙蓉鸡,栀子,
芙蓉鸡,打糁,
芙蓉鸡,赤根,
芙蓉鸡,芫荽,
芙蓉鸡,鸡子,二十个，煎作饼，刻花样
芙蓉鸡,胡萝卜,十个，切
芙蓉鸡,生姜,四两，切
芙蓉鸡,羊肚,一具，熟切
芙蓉鸡,羊肺,一具，熟切
芙蓉鸡,鸡儿,十个，熟攒
鱼弹儿,哈昔泥,二钱
鱼弹儿,胡椒末,一两
鱼弹儿,陈皮末,三钱
鱼弹儿,葱,二两，切细
鱼弹儿,生姜,一两，切细
鱼弹儿,羊尾子,二个，同剁为泥
鱼弹儿,大鲤鱼,十个，去皮、骨、头、尾
带花羊头,萝卜,三个，作花样
带花羊头,鸡子,五个，作花样
带花羊头,糟姜,二两，各切
带花羊头,生姜,四两
带花羊头,羊肚,一具，煮熟切，攒胭脂染
带花羊头,羊肺,一具，煮熟切，攒胭脂染
带花羊头,羊腰,四个
带花羊头,羊头,三个，熟切
鼓儿签子,料物,三钱
鼓儿签子,陈皮,二钱，去白
鼓儿签子,葱,二两，切
鼓儿签子,生姜,二钱
鼓儿签子,鸡子,十五个
鼓儿签子,羊尾子,一个，切细
鼓儿签子,羊肉,五斤，切细
姜黄腱子,栀子,五钱
姜黄腱子,咱夫兰,二钱
姜黄腱子,白面,一斤
姜黄腱子,豆粉,一斤
姜黄腱子,羊肋枝,二个，截作长块
姜黄腱子,羊腱子,一个，熟
河西肺,生姜汁,二合
河西肺,胡椒,二两
河西肺,酥油,半斤
河西肺,面,二斤，打糊
河西肺,韭,六斤，取汁
