Food_Name|Food_Name_en|Ingredient|Ingredient_en|Amount
牛奶子烧饼|Cow’s Milk Buns|茴香|fennel|one liang. Slightly roasted
牛奶子烧饼|Cow’s Milk Buns|酥油|liquid butter|one jin
牛奶子烧饼|Cow’s Milk Buns|牛奶子|cow’s milk|two sheng
牛奶子烧饼|Cow’s Milk Buns|白面|White flour|five jin
黑子儿烧饼|Poppy Seed Buns|黑子儿|poppy seeds|one liang. Slightly roasted
黑子儿烧饼|Poppy Seed Buns|酥油|liquid butter|one jin
黑子儿烧饼|Poppy Seed Buns|牛奶子|cow’s milk|two sheng
黑子儿烧饼|Poppy Seed Buns|白面|White flour|five jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|芫荽叶|onions|four liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|醋|[and] [sheep’s] bitter bowel|one
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|葱|sheep’s stomach and lungs|two sets each
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|苦肠|eggs|30
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|羊肚肺|Chinese yams|three jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|鸡子|bean paste|four jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|山药|sprouting ginger|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|豆粉|vegetable oil|two jin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|生姜|fruit of Gardenia jasminoides|four qian
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|小油|safflower|one liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|栀子|nuts [Pistachio nuts]|four liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|胭脂|pist|
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|必思答仁|walnuts|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|胡桃仁|apricot kernel paste|one chin
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|杏泥|g [mushrooms]|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|蘑菇|m|
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|八檐仁|badam [almonds]|four liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|松黄|pine pollen|eight liang
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|鸡头仁|euryale seeds|
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|羊尾子|sheep’s tail|two; cut up.
荷莲兜子|Qurim “Bonnets” [i.e., boqtas]|羊肉|Mutton|three legs; cut up.
天花包子|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|天花|prepared mandarin orange peel|
天花包子|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|各切细|onions|
天花包子|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|陈皮|sheep’s tail|
天花包子|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|羊尾子|sheep’s fat|
天花包子|Pleurotus ostreatus [Mushroom] Baozi (Some make them from crab spawn. This is also possible. Wisteria Baozi is entirely the same.)|羊肉|Mutton|
莳萝角儿|Shilön Horns|各切细|onions|
莳萝角儿|Shilön Horns|陈皮|sheep’s tail|
莳萝角儿|Shilön Horns|羊尾子|sheep’s fat|
莳萝角儿|Shilön Horns|羊肉|Mutton|
撇列角儿|Päräk Horns|各切细|sheep’s tail|
撇列角儿|Päräk Horns|羊尾子|sheep’s fat|
撇列角儿|Päräk Horns|羊肉|Mutton|
酥皮奄子|Butter Skin Yubqa|各切细或下瓜哈孙系山丹根|onions|
酥皮奄子|Butter Skin Yubqa|陈皮|sheep’s tail|
酥皮奄子|Butter Skin Yubqa|羊尾子|sheep’s fat|
酥皮奄子|Butter Skin Yubqa|羊肉|Mutton|
水晶角儿|Quartz Horns|各切细|onions|
水晶角儿|Quartz Horns|陈皮|sheep’s tail|
水晶角儿|Quartz Horns|羊尾子|sheep’s fat|
水晶角儿|Quartz Horns|羊肉|Mutton|
剪花馒头|Cut Flowers Manta|陈皮|sheep’s tail|
剪花馒头|Cut Flowers Manta|羊尾子|sheep’s fat|
剪花馒头|Cut Flowers Manta|羊肉|Mutton|
茄子馒头|Eggplant Manta|嫩茄子|onions|
茄子馒头|Eggplant Manta|陈皮|sheep’s tail|
茄子馒头|Eggplant Manta|羊尾子|sheep’s fat|
茄子馒头|Eggplant Manta|羊肉|Mutton|
鹿奶肪馒头|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|各切细|prepared mandarin orange peel|Cut up each finely.
鹿奶肪馒头|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|生姜|sprouting ginger|
鹿奶肪馒头|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|各切如指甲片|sheep’s tail|cut up each into slices like finger nails
鹿奶肪馒头|Deer Milk Fat 105 Manta (One can [also] perhaps make “Quick Manta,” or perhaps “Thin–skin Manta,” Both are possible.)|鹿奶肪|[Dried] deer milk fat|
仓馒头|Quick Manta|陈皮|onions|
仓馒头|Quick Manta|葱|mutton fat|
仓馒头|Quick Manta|羊肉|Mutton|
柳蒸羊|Willow–Steamed Lamb|羊|A sheep|one; with hair
烧水札|Roast Eurasian Curlew|葱|spices|five qian
烧水札|Roast Eurasian Curlew|芫荽末|onions|ten stalks
烧水札|Roast Eurasian Curlew|洗净|finely ground coriander|one liang
烧水札|Roast Eurasian Curlew|水札|Eurasian curlews|10; pluck; clean
烧雁|Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|芫荽末|finely ground coriander|one liang
烧雁|Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|葱|onions|two liang
烧雁|Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|羊肚|sheep’s stomach [and attached skin]|one; remove the hair; clean and use to wrap up the wild goose
烧雁|Roast Wild Goose (Roast Cormorant and Roast Duck are the same)|雁|Wild goose|one; remove the feathers, bowels, and stomach and clean.
红丝|Red Strips|香菜|basil and smartweed|each one liang; cut up into fine strips
红丝|Red Strips|萝卜|Chinese radish|one
红丝|Red Strips|生姜|sprouting ginger|four liang
红丝|Red Strips|羊血同白面|Sheep’s blood combined with white flour|Cook according to recipe
鱼|Fine Fish Hash|香菜蓼子|basil and smartweed|cut each into fine strips; mix with safflower
鱼|Fine Fish Hash|葱|onions|one liang
鱼|Fine Fish Hash|萝卜|Chinese radishes|two
鱼|Fine Fish Hash|生姜|sprouting ginger|two liang
鱼|Fine Fish Hash|新鲤鱼|Young carp|five; remove the skins, bones, head, and tail
熬羊胸子|Boiled Sheep’s Breast|料物|remove the hair and wash. Cook until tender. Cut up into sashuq|
熬羊胸子|Boiled Sheep’s Breast|姜末|two|
熬羊胸子|Boiled Sheep’s Breast|羊胸子|Sheep’s breasts|
熬蹄儿|Boiled Sheep’s Hooves|料物|finely ground ginger|one liang
熬蹄儿|Boiled Sheep’s Hooves|姜末|Sheep’s hooves|five hooves; remove the hair and wash; cook until tender; cut up into chunks
熬蹄儿|Boiled Sheep’s Hooves|羊蹄|Ingredients|
炸䐑儿|Scalded Jasa’a (a delicacy)|葱|onions|one liang; cut up finely
炸䐑儿|Scalded Jasa’a (a delicacy)|哈昔泥|kasni|one qian
炸䐑儿|Scalded Jasa’a (a delicacy)|䐑儿|Jasa’a|two; unload; make each into a knot
马肚盘|Horse Stomach Plate|芥末|finely ground mustard|half a jin
马肚盘|Horse Stomach Plate|马肚肠|Horse stomach and intestines|one set; cook. When done cut up.
肝生|Liver and Sprouting [Ginger]|各二两，切细丝|smartweed|each two liang; cut up into fine strips
肝生|Liver and Sprouting [Ginger]|香菜|basil|
肝生|Liver and Sprouting [Ginger]|萝卜|Chinese radish|two liang; cut into fine strips
肝生|Liver and Sprouting [Ginger]|生姜|sprouting ginger|four liang; cut into fine strips
肝生|Liver and Sprouting [Ginger]|羊肝|Sheep’s liver|one; drench in water; cut into fine strips
细乞思哥|Fine Chizig|哈夫儿|ka’fur [Camphor]|two qian
细乞思哥|Fine Chizig|羊尾子|sheep’s tail|one; cook; cut up
细乞思哥|Fine Chizig|萝卜|Chinese radish|two; cook; cut up finely
细乞思哥|Fine Chizig|羊肉|Mutton|leg; cook. When done cut up finely
攒牛蹄|Deboned Ox Hoof Morsels (Horse’s Hoof, Bear’s Paw are entirely the same)|姜末|finely ground ginger|two liang
攒牛蹄|Deboned Ox Hoof Morsels (Horse’s Hoof, Bear’s Paw are entirely the same)|牛蹄|Ox hooves|one set; cook. When done debone as morsels.
攒羊头|Deboned Sheep’s Head Morsels|胡椒|black pepper|one liang
攒羊头|Deboned Sheep’s Head Morsels|姜末|finely ground ginger|four liang
攒羊头|Deboned Sheep’s Head Morsels|羊头|Sheep’s head|five; cook. When done debone as morsels
蒲黄瓜齑|Cattail “Sweet Melon Pickles”|蒲黄|cattail [rhizome]|half a jin
蒲黄瓜齑|Cattail “Sweet Melon Pickles”|小椒|Chinese flower pepper|one liang
蒲黄瓜齑|Cattail “Sweet Melon Pickles”|净羊肉|Cleaned mutton|10 jin; cook. When done cut up to look like sweet melon pickles
猪头姜豉|Galangal Sauce Hog’s Head|蜜|honey|half a jin
猪头姜豉|Galangal Sauce Hog’s Head|小油|vegetable oil|one jin
猪头姜豉|Galangal Sauce Hog’s Head|草果|tsaoko cardamom|five
猪头姜豉|Galangal Sauce Hog’s Head|官桂|cinnamon|two qian
猪头姜豉|Galangal Sauce Hog’s Head|小椒|Chinese flower pepper|two qian
猪头姜豉|Galangal Sauce Hog’s Head|良姜|lesser galangal|two qian
猪头姜豉|Galangal Sauce Hog’s Head|陈皮|prepared mandarin orange peel|two qian; remove the white
猪头姜豉|Galangal Sauce Hog’s Head|猪头|Hog’s head|two; wash; cut up into chunks
攒雁|Deboned Wild Goose Morsels|姜末|finely ground ginger|half a jin
攒雁|Deboned Wild Goose Morsels|雁|Wild geese|five; cook. When done cut up. Debone as morsels
姜黄鱼|Turmeric[–Colored] Fish|芫荽末|finely ground coriander|two liang
姜黄鱼|Turmeric[–Colored] Fish|豆粉|bean paste|one jin
姜黄鱼|Turmeric[–Colored] Fish|白面|white flour|two jin
姜黄鱼|Turmeric[–Colored] Fish|鲤鱼|Carp|10; remove the skin and scales
