Ingredient_en|category|Ingredient
Carp|seafood|鲤鱼
Hog’s head|meat|猪头
honey|other|蜜
Cleaned mutton|meat|净羊肉
cattail [rhizome]|chinese_medicinal_material|蒲黄
Ox hooves|meat|牛蹄
ka’fur [Camphor]|other|哈夫儿
Horse stomach and intestines|meat|马肚肠
finely ground mustard|condiment|芥末
Jasa’a|other|䐑儿
Ingredients|meat|羊蹄
Young carp|seafood|新鲤鱼
basil and smartweed|chinese_medicinal_material|香菜
Wild goose|meat|雁
Eurasian curlews|other|水札
A sheep|meat|羊
[Dried] deer milk fat|dairy_product|鹿奶肪
onions|vegetable|嫩茄子
prepared mandarin orange peel|plant|天花
euryale seeds|chinese_medicinal_material|鸡头仁
pine pollen|plant|松黄
badam [almonds]|chinese_medicinal_material|八檐仁
apricot kernel paste|chinese_medicinal_material|胡桃仁
walnuts|chinese_medicinal_material|必思答仁
safflower|other|小油
eggs|meat|苦肠
[and] [sheep’s] bitter bowel|condiment|醋
onions|plant|芫荽叶
poppy seeds|other|黑子儿
cow’s milk|meat|牛奶子
hulled barley|chinese_medicinal_material|大麦仁
aqimur|chinese_medicinal_material|沙乞某儿
fenugreek seeds|plant|苦豆
Deer’s head [and] hooves|meat|鹿头蹄
chickpeas|plant|回回豆子
Sheep’s back skin from which the hair has been removed|chinese_medicinal_material|羊背皮或羊肉
Large young carp|seafood|大新鲤鱼
Wolf meat|meat|野狼肉
two|vegetable|藕
[cook]. When done cut up finely|vegetable|蒲笋
. Cut into long strips|vegetable|黄瓜
sweet melon pickles|vegetable|蔓菁菜
sprouting ginger|vegetable|台子菜
Sheep’s breasts|meat|羊胸子
hanging noodles|grain|挂面
Sheep’s skins|chinese_medicinal_material|羊皮
carrots|meat|瓜齑
sheep’s tongues|meat|羊舌
m|other|蘑菇
Millet grains|grain|粱米
qamh|grain|河西米
Fat chickens|meat|肥鸡儿
[wheat] flour|spice|小椒末
Quail|meat|鹌鹑
two|spice|姜末
Rabbit|meat|兔儿
leeks|vegetable|韭
flour|grain|面
liquid butter|dairy_product|酥油
Sheep’s tendon|meat|羊腱子
sheep ribs|meat|羊肋枝
vegetable oil|grain|豆粉
za’faran|chinese_medicinal_material|咱夫兰
remove the hair and wash. Cook until tender. Cut up into sashuq|other|料物
Sheep’s head|meat|羊头
sheep’s loins|meat|羊腰
pickled ginger|spice|糟姜
sheep’s tail|meat|羊尾子
finely ground prepared mandarin orange peel|chinese_medicinal_material|陈皮末
finely ground black pepper|spice|胡椒末
Chickens|meat|鸡儿
carrots|vegetable|胡萝卜
spinach [true spinach|other|赤根
Spinacia oleracea] and coriander|other|打糁
nuts [Pistachio nuts]|fruit|栀子
pist|other|胭脂
apricot kernel paste|other|染
g [mushrooms]|fruit|杏泥
Select mutton|meat|精羊肉
onions|vegetable|芫荽末
Sheep’s bitter bowel|meat|羊苦
Cooked sheep’s thoraxes|meat|熟羊胸子
bean paste|meat|鸡子
boiled water|other|熟水
red China root|other|赤茯苓
finely ground yeast|other|曲末
malted wheat|grain|大麦蘖
cooked honey|other|熟蜜
Black [i.e. fresh] oriental flowering apricots|fruit|乌梅
salted oriental flowering apricots|fruit|白梅
Red currants [“northern schisandra”]|chinese_medicinal_material|北五味
prepared mandarin orange peel|chinese_medicinal_material|橘皮
crude granulated sugar|condiment|沙糖
Tsangshu|chinese_medicinal_material|苍术
dried jujubes|fruit|乾枣
millet grains|grain|粟米
sesame [seeds]|grain|芝麻
jujubes|fruit|枣
Sichuan pagoda tree [Melia toosendan] fruits|chinese_medicinal_material|川楝子
fennel|chinese_medicinal_material|茴香
kueihua [Osmanthus fragrans] flowers|plant|桂花
of|spice|姜黄
muxiang [root of Vladimiria souliei or Saussurea lappa]|chinese_medicinal_material|木香
liquorice|chinese_medicinal_material|丁香
Salted oriental flowering apricots|fruit|白梅肉
liquorice|plant|甘草
[Prepared] fragrant orange [Citrus sinensis] peel|chinese_medicinal_material|香橙皮
prepared mandarin orange peel|chinese_medicinal_material|陈橘皮
sandalwood|chinese_medicinal_material|檀香
kudzu flower|plant|葛花
mungbean flower|plant|绿豆花
ginseng|chinese_medicinal_material|人参
acorus root|plant|菖蒲
cinnamon|chinese_medicinal_material|官桂
qatiq|chinese_medicinal_material|渴忒
Tabilqa|other|答必纳
finely powdered|other|白纳八
New fragrant orange peel|chinese_medicinal_material|新橙皮
garuwood|chinese_medicinal_material|沉香
white sandalwood|chinese_medicinal_material|白檀
cardamom kernel|chinese_medicinal_material|白豆蔻仁
cubebs|vegetable|荜澄茄
southern borax|chinese_medicinal_material|南硼砂
baroos camphor [Dryobalanops aromatica resin]|other|龙脑
Solomon’s seal [Polygonatum cirrhifolium or P. multiflorum] paste|chinese_medicinal_material|黄精膏
Chinese foxglove [Rehmannia glutinosa] paste|chinese_medicinal_material|地黄膏
Chinese asparagus [Asparagus lucidus or A. cojinjinensis] paste|chinese_medicinal_material|天门冬膏
oil from cow skull marrow|meat|牛骨头内取油
Chinese quinces|fruit|木瓜
Citrons|chinese_medicinal_material|香圆
Hazelnuts|other|株子
Purple perilla leaf|plant|紫苏叶
dried Chinese quince|fruit|干木瓜
Kumquats|fruit|金橘
Cherries|fruit|樱桃
Large peaches|fruit|大桃
Pomegranate seeds|fruit|石榴子
Rose hips|fruit|小石榴
Fresh northern red currants|chinese_medicinal_material|新北五味
white granulated sugar|condiment|白沙糖
Cicigina|other|赤赤哈纳
Pine seeds|grain|松子
