Food_Name,Juan
颇儿必汤,JuanDiYiJuZhenYiZhuan_3
米哈讷关列孙,JuanDiYiJuZhenYiZhuan_3
姜黄鱼,JuanDiYiJuZhenYiZhuan_2
攒雁,JuanDiYiJuZhenYiZhuan_2
猪头姜豉,JuanDiYiJuZhenYiZhuan_2
蒲黄瓜齑,JuanDiYiJuZhenYiZhuan_2
攒羊头,JuanDiYiJuZhenYiZhuan_2
攒牛蹄,JuanDiYiJuZhenYiZhuan_2
细乞思哥,JuanDiYiJuZhenYiZhuan_2
肝生,JuanDiYiJuZhenYiZhuan_2
马肚盘,JuanDiYiJuZhenYiZhuan_2
炸䐑儿,JuanDiYiJuZhenYiZhuan_2
熬蹄儿,JuanDiYiJuZhenYiZhuan_2
熬羊胸子,JuanDiYiJuZhenYiZhuan_2
鱼,JuanDiYiJuZhenYiZhuan_2
红丝,JuanDiYiJuZhenYiZhuan_2
烧雁,JuanDiYiJuZhenYiZhuan_2
烧水札,JuanDiYiJuZhenYiZhuan_2
柳蒸羊,JuanDiYiJuZhenYiZhuan_2
仓馒头,JuanDiYiJuZhenYiZhuan_2
鹿奶肪馒头,JuanDiYiJuZhenYiZhuan_2
茄子馒头,JuanDiYiJuZhenYiZhuan_2
剪花馒头,JuanDiYiJuZhenYiZhuan_2
水晶角儿,JuanDiYiJuZhenYiZhuan_2
酥皮奄子,JuanDiYiJuZhenYiZhuan_2
撇列角儿,JuanDiYiJuZhenYiZhuan_2
莳萝角儿,JuanDiYiJuZhenYiZhuan_2
天花包子,JuanDiYiJuZhenYiZhuan_2
荷莲兜子,JuanDiYiJuZhenYiZhuan_2
黑子儿烧饼,JuanDiYiJuZhenYiZhuan_2
牛奶子烧饼,JuanDiYiJuZhenYiZhuan_2
桂浆,JuanDiErZhuBanTangJian
桂沉浆,JuanDiErZhuBanTangJian
荔枝膏,JuanDiErZhuBanTangJian
梅子丸,JuanDiErZhuBanTangJian
五味子汤,JuanDiErZhuBanTangJian
人参汤,JuanDiErZhuBanTangJian
