Steps,Steps_trans
上件，用盐、料物淹拌过搽鱼，入小油炸熟，用生姜二两，切丝。芫荽叶，胭脂染，萝卜丝炒，葱调和。,上述食材，用盐和料物混合拌匀，将鱼腌制后，入油中炸至熟透，再加入生姜丝、芫荽叶、胭脂染制的辣椒酱和炒萝卜丝，用葱、盐、醋混合调味。
右用好肉汤炒，葱、盐调和。,右边的食材，用优质的肉汤炒制，然后加入葱和醋，混合均匀。
上件，一同熬成，次下芥末炒，葱、醋、盐调和。,上述食材，一同炖煮，然后加入芥末炒制，再加入葱、醋和盐，调和均匀。
上件，用细料物一两，盐同拌匀。,上述食材，用细的调料物混合，再加入盐拌匀。
上件，用好肉汤炒，葱、盐、醋调和。,上述食材，用优质的肉汤炒制，然后加入葱、盐和醋，混合均匀。
上件，用好肉汤同炒，葱、盐调和。,上述食材，用优质的肉汤炒制，再加入葱和醋，混合均匀。
上件用好肉汤同炒，葱调和。,上述食材，用优质的肉汤炒制，然后加入葱，调和均匀。
上件，用盐、醋、芥末调和。,上述食材，用盐、醋和芥末混合调和。
上件，将白血灌肠，刻花样，涩脾，和脂剁心子攒成炒， 葱、盐、醋、芥末调和。,上述食材，将白血灌肠，刻成花样，涩脾，和脂剁成心形，然后加入葱、盐、醋和芥末，混合均匀。
上件，用盐一同淹拌，少时，入小油炸熟。次用咱夫兰二钱，水浸汁，下料物、芫荽末，同糁拌。,上述食材，用盐拌匀，稍微沥干，然后入油中炸至熟透。接着用咱夫兰泥、水浸浑和成的汁，加入料物和芫荽末，混合拌匀。
上件，下面丝炒，葱、醋、盐调和。,上述食材，加入面丝，用葱、醋、盐混合调味。
上件，用好肉汤，下面丝炒，葱、盐、醋调和。,上述食材，用优质的肉汤，下面丝，再加入葱、盐和醋，混合均匀。
上件，下芥末炒，葱、盐、醋调和。,上述食材，加入芥末炒制，然后加入葱、盐、醋，混合均匀。
上件，用盐、醋、芥末调和。,上述食材，用盐、醋和芥末混合调和。
上件，用盐同调，入雁腹内烧之。,上述食材，用盐拌匀，然后填入雁腹内烧煮。
上件，用盐同拌匀烧，或以肥面包水扎，就笼内蒸熟亦可。或以酥油水和面包水扎，入炉内炉熟亦可。,上述食材，可以用盐拌匀后烧制，或者使用肥油拌面制成，然后放入笼内蒸熟也行。另一种方法是，用酥油和水拌制成面团，然后放入炉内烘烤至熟。
上件，于地上作炉，三尺深，周回以石，烧令通赤，用铁芭盛羊上，用柳子盖覆，土封，以熟为度。,上述食材，制作一个深度为三尺的土炉，用石块围绕炉底，烧至通红。将铁块放在土炉上，然后用柳叶覆盖，用土封好，以熟为度。
上件，入料物、盐、酱，拌和为馅。,上述食材，将食材、盐和酱混合制成馅料。
上件，入料物、盐，拌和为馅。,上述食材，将食材和盐混合制成馅料。
上件，同肉作馅，却入茄子内蒸，下蒜酪、香菜末，食之。,上述食材，将食材与肉混合成馅料，然后将其填入茄子中，蒸熟后，加入蒜酪和香菜末，即可享用。
上件，依法入料物、盐、酱拌馅包馒头，用剪子剪诸般花样，蒸，用胭脂染花。,上述食材，按照规定，将食材、盐和酱混合，包在馒头中，用剪刀剪出各种花样，然后蒸熟，最后用胭脂染上花纹。
上件，入细料物、盐、酱拌匀，用豆粉作皮包之。,上述食材，将细碎的食材、盐和酱混合匀，用豆粉包裹成皮。
上件，入料物、盐、酱拌匀，用小油、米粉与面，同和作皮。,上述食材，将食材、盐和酱混合，然后用小油和米粉混合面团，制成皮。
上件，入料物、盐、酱拌匀，白面作皮， 上炮熟，次用酥油、蜜，或以葫芦瓠子作馅亦可。,上述食材，将食材、盐和酱混合，用白面制成皮，先烘烤熟，然后用酥油、蜜糊，或者用葫芦瓠子制成馅，也可。
上件，入料物、盐、酱拌匀，用白面、蜜与小油拌入锅内，滚水搅熟作皮。,上述食材，将食材、盐和酱混合，用白面、蜜和少许油混合，放入锅中，用滚水搅拌至熟透，制成皮。
上件，入料物、盐、酱拌馅，白面作薄皮，蒸。,上述食材，将食材、盐和酱混合成馅料，用白面制成薄皮，然后蒸熟。
上件，用盐、酱、五味调和匀，豆粉作皮，入盏内蒸，用松黄汁浇食。,上述食材，用盐、酱和五味混合匀，用豆粉制成皮，放入盏中蒸熟，再用松黄汁浇在上面。
上件，用盐、减少许，同和面作烧饼。,上述食材，用盐和少量的酱，混合面团，制成烧饼。
上件，用盐、减少许，同和面作烧饼。,上述食材，用盐和少量的酱，混合面团，制成烧饼。
