Food_Name,Effect,Ingredients,Steps
马思吉汤, 补益身体，温和胃肠，顺畅气血。,羊肉 一脚子，卸成事件  草果 五个  官桂 二钱  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟的回回豆子2合，香粳米1升，马思答吉1钱，少许盐，搅拌均匀，再加入熟肉和芫荽叶。
大麦汤, 温和胃肠，增强脾胃功能，缓解烦躁口渴，驱散寒冷，减轻腹胀。,羊肉 一脚子，卸成事件  草果 五个  大麦仁 二升，滚水淘洗净，微煮熟,上述食材，煮成汤，滤净，再加入大麦仁，煮熟，少许盐，搅拌均匀，再加入肉。
八儿不汤, 被称为西天茶饭。滋补脾胃，舒缓下腹不适，畅通胸膈之间的气息。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  萝卜 二个,上述食材，一同煮成汤，煮熟后过滤，然后加入切成块状的羊肉、熟萝卜块、咱夫兰1钱、姜黄2钱、胡椒2钱、哈昔泥半钱、芫荽叶和少许盐，搅拌均匀，然后可以搭配香粳米干饭，也可以加入少量醋。
沙乞某儿汤, 增补脾胃功能，调和消化系统。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮  沙乞某儿 五个，系蔓菁,上述食材，一同煮成汤，煮熟后过滤，再加入熟的回回豆子2合，香粳米1升。再加入切成块状的熟沙乞某儿，少许盐，搅拌均匀。
苦豆汤, 增益下元之气，调理腰膝不适，温和胃肠，促进气血顺畅。,羊肉 一脚子，卸成事件  草果 五个  苦豆 一两，系葫芦巴。,上述食材，一同煮成汤，煮熟后过滤，然后加入河西兀麻食或米心子，哈昔泥半钱，少许盐，搅拌均匀。
木瓜汤, 调理脾胃，促进气血通畅，治疗腰膝疼痛及脚部不适。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入香粳米1升，熟回回豆子2合，肉弹儿木瓜2斤，取汁，沙糖4两，少许盐，搅拌均匀，或者加入熟肉。
鹿头汤, 补养身体，缓解烦躁口渴，治疗脚膝疼痛。,鹿头蹄 一副，退洗净，卸作块,上述食材，将哈昔泥研成泥状，与鹿头蹄肉一同拌匀，再用回回小油4两炒，加入滚水煮至软烂，再加入胡椒3钱、哈昔泥2钱、荜拨1钱、牛奶子1盏、生姜汁1合，少许盐，搅拌均匀。另一种方法是用鹿尾提取汁，然后加入姜末和少许盐，搅拌均匀。
松黄汤, 增补脾胃功能，强健筋骨。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟羊胸子1个，切成块状，松黄汁2合，生姜汁半合，搅拌均匀，再加入葱、盐、醋和芫荽叶，搅拌匀后用来搭配经卷。
粆汤, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入熟的乾羊胸子1个，切成片，粆3升，以及白菜或荨麻菜，搅拌均匀，加入少许盐。
大麦算子粉, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入大麦粉3斤，豆粉1斤，混合成粉。然后将羊肉切细，炒熟，再加入生姜汁2合、芫荽叶、盐和醋，搅拌均匀。
大麦片粉, 增益脾胃之气，促进脾胃健康。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，再加入胡椒5钱，熟羊肉切成块，糟姜2两，瓜齑1两，切成块，加入少许盐和醋，或者可以加入浑汁。
糯米粉粉, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再用羊肝酱熬制取清汁，再加入胡椒5钱，糯米粉2斤，豆粉1斤，混合成粉，然后将羊肉切细，炒熟，加入盐和醋，也可以加入浑汁。
河羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个,上述食材，一同煮成汤，煮熟后过滤，再加入羊肉切成细块，陈皮5钱，去皮，葱2两，切细，料物2钱，盐、酱拌匀，皮用白面3斤，制成饺子皮，然后用小油炸熟，加入汤中，加入盐搅拌均匀，或者可以加入清汁。
阿菜汤, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，加入胡椒5钱。另外，切片的羊肉、羊尾子、羊舌和羊腰子，蘑菇半斤，白菜，一同下锅，加入清汁、盐和醋，搅拌均匀。
鸡头粉雀舌子, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，混合成粉，然后切成块状，羊肉切成细块，加入生姜汁1合，炒葱，搅拌均匀。
鸡头粉血粉, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，羊血和作粉，羊肉切成细块，加入葱和醋，搅拌均匀。
鸡头粉撅面, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入鸡头粉2斤，豆粉1斤，白面1斤，混合成面粉。然后将羊肉切成片，煎饼状，再切成块，加入葱和醋，搅拌均匀。
鸡头粉粉, 增补脾胃功能，滋养精气。,羊肉 一脚子，卸成事件  草果 五个  良姜 二钱,上述食材，一同煮成汤，煮熟后过滤，再加入羊肝酱，取清汁，加入胡椒1两，然后再用鸡头粉2斤，豆粉1斤，混合成粉，将羊肉切成细块，加入盐和醋，也可以加入浑汁。
鸡头粉馄饨, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，将羊肝切成馅，加入陈皮1钱，去白，生姜1钱，切细，然后加入五味调匀。接着用鸡头粉2斤，豆粉1斤，制成枕头馄饨，将馄饨加入汤中，再加入香粳米1升，回回豆子2合，生姜汁2合，木瓜汁1合，搅拌均匀，然后加入葱和盐，搅拌均匀。
杂羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，然后加入羊头，切成块，羊肚、肺各2具，羊白血双肠儿1副，都煮熟后切块，然后再加入豆粉3斤，制成片粉，蘑菇半斤，杏泥半斤，胡椒1两，加入台子菜、韭菜、葱、盐和醋，搅拌均匀。
荤素羹, 增益脾胃之气。,羊肉 一脚子，卸成事件  草果 五个  回回豆子 半升，捣碎，去皮,上述食材，一同煮成汤，煮熟后过滤，再加入豆粉3斤，制成片粉，羊肉切成条状，山药1斤，糟姜2块，瓜齑1块，乳饼1个，胡萝卜10个，蘑菇半斤，生姜4两，都切成块状，鸡子10个，制成煎饼，再切块，用麻泥1斤，杏泥半斤，搅拌均匀，加入葱、盐和醋。
