Food_Name,Effect,Ingredients,Steps
生地黄鸡,用于治疗腰背疼痛、骨髓虚损、不能久立、身体沉重、精力不足、盗汗、食欲不振、时常呕吐和腹泻。,生地黄 半斤  饴糖 五两  乌鸡 一 枚,三种食材，首先将鸡去毛，清理肠胃，切成细块。将地黄与糖混合均匀，然后放入鸡的腹中，放在铜器中，再置于甑中蒸煮，直到饭熟。然后取出食用，无需加盐和醋，只吃掉肉，不饮下汤。
羊蜜膏,用于治疗虚弱、腰痛、咳嗽、肺痿和骨髓虚蒸。,熟羊脂 五两  熟羊髓 五两  白沙蜜 五两，炼净  生姜汁 一合  生地黄汁 五合,五种食材，首先用羊脂煎热，然后加入羊髓，再次加热。接着加入蜜、地黄和生姜汁，不停搅拌，用小火熬煮数次，直到成为膏状。每天空腹温酒，加入一勺膏头。可以做成羹汤，也可以做成粥来食用。
羊藏羹,用于治疗肾虚劳损和骨髓受损。,羊肝、肚、肾、心、肺 各一具，汤洗净  牛酥 一两  胡椒 一两  荜拨 一两  豉 一合  陈皮 二钱，去白  良姜 二钱  草果 两个  葱 五 茎,首先将羊肝等食材慢慢地煮熟，将汁液过滤干净。将羊肝和其他食材混合，一同放入羊肚内，缝合口，用绢袋装好，再次煮熟，然后加入五味，可以随意食用。
羊骨粥,用于治疗虚劳、腰膝无力。,羊骨 一副，全者，捶碎  陈皮 二钱，去白  良姜 二钱  草果 二个  生姜 一两  盐 少许,用三斗水慢慢地熬成汁，然后过滤出清澈的液体，就像通常制作粥一样，也可以做成羹汤来食用。
羊脊骨粥,用于治疗下元气虚弱、腰背肾脏受损。,羊脊骨 一具，全者，捶碎  肉苁蓉 一两，洗，切作片  草果 三个  荜拨 二钱,用水熬成汁，过滤掉杂质，然后加入葱和五味，制作成羹，可以食用。
白羊肾羹,用于治疗虚劳、阳气减退、腰膝无力。,白羊肾 二具，切作片  肉苁蓉 一两，酒浸，切  羊脂 四两，切作片  胡椒 二钱  陈皮 一钱，去白  荜拨 二钱  草果 二钱,将上述食材与葱、盐、酱相配，煮成汤，然后加入面条，如通常一样制作羹，可以食用。
猪肾粥,用于治疗肾虚劳损、腰膝疼痛。,猪肾 一对，去脂膜，切  粳米 三合  草果 二钱  陈皮 一钱，去白  缩砂 二钱,首先将猪肾和陈皮煮成汁，去除杂质，加入少量酒，然后加入大米煮成粥，空腹食用。
枸杞羊肾粥,用于治疗阳气衰退、腰脚疼痛、因五劳七伤引起的问题。,枸杞叶 一斤  羊肾 一对，细切  葱白 一 茎  羊肉 半斤，炒,将上述四种食材混合均匀，加入五味，煮成汁，再加入米熬成粥，空腹食用。
鹿肾羹,用于治疗肾虚引起的耳聋。,鹿肾 一对，去脂膜，切,将上述食材与豆豉混合，加入粳米，煮成粥或制作成羹，空腹食用。
羊肉羹,用于治疗肾虚、体力不足、腰脚无力。,羊肉 半斤，细切  萝卜 一个，切作片  草果 一 钱  陈皮 一钱，去白  良姜 一钱 荜拨 一钱  胡椒 一钱  葱白 三茎,用水熬成汁，加入盐和酱，煮成汤，加入面条，制作羹，食用。你也可以将汤澄清后制作成粥食用。
鹿蹄汤,用于治疗风寒、虚弱、腰脚疼痛，无法正常行走。,鹿蹄 四只  陈皮 二钱  草果 二钱,把上述食材煮至熟烂，取出肉，加入五味，空腹食用。
鹿角酒,用于治疗突然出现的腰痛，无法缓解。,鹿角 新者，长二三寸，烧令赤,将上述食材浸泡在酒中两夜，空腹饮用，会立即产生效果。
黑牛髓煎,用于治疗肾虚、虚弱、骨髓受损、消瘦无力。,黑牛髓 半斤  生地黄汁 半斤  白沙蜜 半斤，炼去蜡,将上述三种食材混合煎炼成膏状，空腹时加入酒饮用。
狐肉汤,用于治疗虚弱、五脏受害。,狐肉 五斤，汤洗净  草果 五个  缩砂 二钱  葱 一握  陈皮 一钱，去白  良姜 二钱  哈昔泥 一钱，即阿魏,用一斗水煮沸，去除草果等杂质，然后加入胡椒、姜黄、醋和五味，混合均匀，空腹食用。
乌鸡汤,用于治疗虚弱、劳损、胃肠不适。,乌雄鸡 一只， 洗净，切作块子  陈皮 一钱，去白  良姜 一钱  胡椒 二钱  草果 二个,将葱、醋和酱混合在一起，装入瓶中，密封，煮熟，然后空腹食用。
醍醐酒,用于治疗虚弱、风湿。,醍醐 一 盏,用一杯酒和匀，温热饮用，具有特定效果。
山药,用于治疗虚弱、五劳七伤、腹部冷痛、骨髓受损。,羊骨 七五块，带肉  萝卜 一枚，切作大片  葱白 一茎  草果 五个  陈皮 一钱，去白  良姜 一钱  胡椒 二钱  缩砂 二钱  山药 二斤,将上述材料一同煮，取汁澄清，过滤去杂质，然后加入面和山药，煮熟，研成泥状，制成粥，加入五味，空腹食用。
山药粥,用于治疗虚劳、骨蒸、长期寒冷。,羊肉 一斤，去脂膜，烂煮熟，研泥  山药 一斤，煮熟，研泥,将上述材料与肉汤一同加入大米三合，煮成粥，空腹食用。
酸枣粥,用于治疗虚劳、烦躁、失眠。,酸枣仁 一碗,用水榨取汁液，加入大米三合，煮成粥，空腹食用。
生地黄粥,用于治疗虚弱、骨蒸、四肢无力、逐渐消瘦、焦虑失眠。,生地黄汁 一合  酸枣仁 二两，水绞，取汁二盏,将上述材料一同煮沸数次，然后加入大米三合，煮成粥，空腹食用。
椒面羹,用于治疗脾胃虚弱、长期感觉寒冷、胃部疼痛、呕吐无法进食。,川椒 三钱，炒，为末  白面 四两,将上述材料与盐少许混合，制成面条，煮成羹，食用。
荜拨粥,用于治疗脾胃虚弱、胃部寒冷、闷闷不乐、食欲不振。,荜拨 一两  胡椒 一两  桂 五钱,右三味为末。每用三钱，水三大碗，入豉半合，同煮令熟，去滓，下米三合作粥，空腹食之。这种食材，磨成粉末，每次用三钱，加入三大碗水，加入半合豉，一起煮熟，去掉渣滓，再加入三合米，煮成粥，空腹吃。
良姜粥,用于治疗心腹寒冷、水液滞留。,高良姜 半两，为末  粳米 三合,上述食材，用三大碗水煮姜至两碗，去渣，加入米煮粥，食用后具有效果。
吴茱萸粥,用于治疗心腹寒冷、寒气侵袭肋胁引起的疼痛。,吴茱萸 半两，水洗，去涎，焙乾，炒，为末,上述食材，以三合米一同煮成粥，空腹食用。
牛肉脯,可治疗脾胃虚弱，长时间不想吃喝。,牛肉 五斤，去脂膜，切作大片  胡椒 五钱  荜拨 五钱  陈皮 二钱，去白 草果 二钱  缩砂 二钱  良姜 二钱,上述食材，磨成细末，用五合生姜汁、一合葱汁、四两盐拌匀，浸泡两日，取出晾干，制成脯，可随意食用。
莲子粥,有助于治疗心情不安。能够滋补中气，提高智慧和视听能力。,莲子 一升，去心,上述食材煮熟后，磨成泥状，与三合粳米一同煮成粥，空腹食用。
鸡头粥,适用于治疗精气不足，强化决心，提高听力和视力。,鸡 头实 三合,上述食材煮熟后，磨成泥状，与一合粳米煮成粥，食用。
鸡头粉羹,可治疗湿气引起的关节疼痛和腰膝疼痛。也能够缓解急性疾病，增强精气，坚定意志，提高视听能力。,鸡头 磨成粉  羊脊骨 一副，带肉，熬取汁,上述食材，用一合生姜汁与五味调和，空腹食用。
桃仁粥,能够缓解心腹疼痛、呼吸急促、胸部不适、呼吸困难等症状。,桃仁 三两，汤煮熟，去尖、皮，研,上述食材取汁，与粳米一同煮成粥，空腹食用。
生地黄粥,适用于治疗虚弱、体重减轻、骨骼疼痛、寒热交替、咳嗽咳血等情况。,生地黄汁 二合,上述食材，煮白粥，临熟时加入地黄汁，搅拌均匀，空腹食用。
鲫鱼羹,用于治疗脾胃虚弱、长期泄痢、不容易康复，食用后能立即见效。,大鲫鱼 二斤  大蒜 两块  胡椒 二钱  小椒 二钱  陈皮 二钱  缩砂 二钱  荜拨 二钱,上述食材，用葱、酱、盐、料物、蒜，加入鱼肚内，煎熟做成羹，与五味调和，空腹食用。
炒黄面,用于治疗泄痢、肠胃不稳定。,白面 一斤，炒令焦黄,上述食材，每日空腹温水调入一匙头。
乳饼面,用于治疗脾胃虚弱、出现带血和白色痢疾。,乳饼 一个，切作豆子样,上述食材，用面粉拌煮熟，空腹食用。
炙黄鸡,适用于治疗脾胃虚弱引起的腹泻。,黄雌鸡 一只， 净,上述食材，用盐、酱、醋、茴香、小椒末拌匀，刷在鸡肉上，用火烤至干燥，空腹食用。
牛奶子煎荜拨法,在贞观年间，太宗患了痢疾，众多医生无法治愈。有一位术士推荐了这个疗法：使用牛蒡子煮成药汤，服用后病情迅速好转。,,
肉羹,用于治疗水肿、气体积聚、腹部胀痛、小便少而困难。,肉 一斤，细切  葱 一握  草果 三个,上述食材，用小椒、豆豉，同煮烂熟，入粳米一合作羹，五味调匀，空腹食之。
黄雌鸡,用于治疗腹部水肿、水肿。,黄雌鸡 一只， 净  草果 二钱  赤小豆 一升,上述食材，同煮熟，空心食之。
青鸭羹,用于治疗各种水肿疾病。,青头鸭 一只，退净  草果 五个,上述食材，用赤小豆半升，入鸭腹内煮熟，五味调，空心食。
萝卜粥,用于治疗口渴、口干、频繁小便。,大萝卜 五个，煮熟，绞取汁,上述食材，用粳米三合，同水并汁，煮粥食之。
野鸡羹,用于治疗口渴、口干、频繁小便。,野鸡 一只， 净,右入五味，如常法作羹 食之。
鹁鸽羹,用于治疗口渴、饮水无度。,白鹁鸽 一只，切作大片,上述食材，用土苏一同煮熟，空腹食之。
鸡子黄,用于治疗小便不通。,鸡子黄 一枚，生用,上述食材，服之不过三服，熟亦可食。
葵菜羹,用于治疗小便淋滩不通。,葵菜叶 不以多少，洗择净,右煮作羹，入五味，空腹食之。
鲤鱼汤,用于治疗口渴、水肿、黄疸、脚部疼痛。,大鲤鱼 一头  赤小豆 一合  陈皮 二钱，去白  小椒 二钱  草果 二钱,上述食材，入五味，调和匀，煮熟，空腹食之。
马齿菜粥,用于治疗脚部疼痛、头面部水肿、胃部胀满、小便淋滩。,马齿菜 洗净，取汁,上述食材，和粳米同煮粥，空腹食之。
