Food_Name,Effect,Ingredients,Steps
桂浆,可以滋润口腔，缓解口渴，增强体力，平衡湿气。,生姜 三斤，取汁  熟水 二斗  赤茯苓 三两，去皮，为末  桂 三两，去皮，为末  曲末 半斤  杏仁 一百个，汤洗，去皮、尖，生研为泥  大麦蘖 半两，为末 白沙蜜 三斤，炼净。,使用前述食材，混合蜂蜜水，封闭于磁罐内，放入冰窖三日，然后过滤后饮用。
桂沉浆,有助于去湿气，帮助身体更好地排除多余的饮水，使人感到清爽。,紫苏叶 一两，锉  沉香 三钱，锉  乌梅 一两，取肉  沙糖 六两,使用前述食材，与水混合，煮沸，过滤后加入桂浆饮用。
荔枝膏,能够滋润口腔，舒缓烦躁情绪。,乌梅 半斤，取肉  桂 一十两，去皮，锉  沙糖 二十六两  麝香 半钱，研 生姜汁 五两  熟蜜 一十四两,使用前述食材，与水混合，煮至一半，过滤后加入糖、生姜汁，再次煮沸，澄清后加入麝香，可任意饮用。
梅子丸,有助于解除体内的酒精毒素，排除湿气。,乌梅 一两半，取肉  白梅 一两半，取肉  干木瓜 一两半  紫苏叶 一两半 甘草 一两，炙  檀香 二钱  麝香 一钱，研,使用前述食材制成末状，混合麝香，制成如弹珠大小的丸子，每次服用一个，慢慢嚼化。
五味子汤,可以代替葡萄酒的饮用，具有滋润口腔、增强体力的效果。,北五味 一斤，净肉  紫苏叶 六两  人参 四两，去芦，锉  沙糖 二斤,使用前述食材，与水混合，煮至一半，澄清后可任意饮用。
人参汤,代替酒精饮用，有助于调整气息，打开胸膈，缓解口渴，增加口腔湿润。,新罗参 四两，去芦，锉  橘皮 一两，去白  紫苏叶 二两  沙糖 一斤,使用前述食材，与水混合，煮至一半，澄清后可任意饮用。
仙术汤,去除一切不正常的体内气息，温暖脾胃，改善饮食，预防瘟疫，消除寒湿。,苍术 一斤，米泔浸三日，竹刀子切片，焙乾，为末  茴香 二两，炒，为末  甘草 二两，炒，为末  白面 一斤，炒  乾枣 二升，焙乾，为末  盐 四两，炒,使用前述食材，混合在一起，每日空腹喝一碗白汤。
杏霜汤,调和肺气，舒缓胸膈，治疗咳嗽。,粟米 五升，炒，为面  杏仁 二升，去皮、尖，麸炒，研  盐 三两，炒,使用前述食材，混合在一起，每日空腹喝一钱的白汤，加入少量酥油更佳。
山药汤,补充虚弱之处，增强体力，温暖身体，滋润肺部。,山药 一斤、煮熟  粟米 半升，炒，为面  杏仁 二斤，炒令过熟，去皮、尖，切如米,使用前述食材，每日空腹喝两钱的白汤，可加入少许酥油和山药。
四和汤,用于治疗腹部内部的寒冷疼痛，改善脾胃不和。,白面 一斤，炒  芝麻 一斤，炒  茴香 二两，炒   盐 一两，炒,使用前述食材，制成末状，每日空腹喝一钱的白汤。
枣姜汤,有助于调和脾胃，促进饮食。,生姜 一斤，切作片  枣 三升，去核，炒  甘草 二两，炒  盐 二两，炒,使用前述食材，制成末状，每日空腹喝一钱的白汤。
茴香汤,用于治疗元气虚弱，腹部冷痛。,茴香 一斤，炒  川楝子 半斤  陈皮 半斤，去白  甘草 四两，炒  盐 半斤，炒,使用前述食材，制成细末，每日空腹喝一钱的白汤。
破气汤,用于治疗元气虚弱，腹痛，缓解胸膈郁闷。,杏仁 一斤，去皮、尖，麸炒，别研  茴香 四两，炒  良姜 一两  荜澄茄 二两  陈皮 二两，去白  桂花 半斤  姜黄 一两  木香 一两  丁香 一两  甘草 半斤  盐 半斤,使用前述食材，制成细末，每日空腹喝一钱的白汤。
白梅汤,用于治疗中热症状，如心烦意乱，霍乱呕吐，口渴，体内液体不畅通。,白梅肉 一斤  白檀 四两  甘草 四两  盐 半斤,使用前述食材，制成细末，每次服用一钱，加入少量生姜汁和白汤一起饮用。
木瓜汤,用于治疗脚气不仁，膝盖劳累和冷痛。,木瓜 四个，蒸熟，去皮，研烂如泥  白沙蜜 二斤，炼净,将它们混合均匀后，倒入干净的陶罐中。将空心白汤点上即可食用。
